datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-01 09:15:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44791.45,44836.85,44762.7,44823.35,41880,2498655,0
2023-12-01 09:16:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44824.95,44827.95,44788,44827.95,27615,2498655,1
2023-12-01 09:17:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44830,44837.15,44813.5,44832,25620,2508375,2
2023-12-01 09:18:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44839.9,44865,44839.9,44865,23415,2508375,3
2023-12-01 09:19:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44870,44875,44856,44875,14250,2508375,4
2023-12-01 09:20:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44862.15,44884,44853,44870.75,16545,2521695,5
2023-12-01 09:21:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44872.15,44883,44869.15,44874.75,12405,2521695,6
2023-12-01 09:22:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44875.15,44880.2,44862.2,44879.9,5970,2521695,7
2023-12-01 09:23:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44872.15,44898,44872.15,44898,13575,2522235,8
2023-12-01 09:24:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44895.2,44898.7,44881.75,44890.9,9390,2522235,9
2023-12-01 09:25:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44891,44904.95,44881.2,44902.65,9735,2522235,10
2023-12-01 09:26:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44895.75,44925,44895.75,44902.25,16275,2522970,11
2023-12-01 09:27:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44902.25,44928,44902.25,44922.95,13005,2522970,12
2023-12-01 09:28:00,CNXBAN,NFO,Futures,28-DEC-23,Others,0,44920.2,44928.3,44911.8,44922.25,7680,2522970,13
