datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-01 09:15:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20230.05,20235,20230,20230.05,1480,65720,0
2023-12-01 09:16:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20234.5,20240,20230.05,20240,1880,65720,1
2023-12-01 09:17:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20229.9,20240.9,20229.9,20234.5,960,67760,2
2023-12-01 09:18:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20237.25,20241,20234.8,20237.45,240,67760,3
2023-12-01 09:19:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20237.45,20237.45,20237.45,20237.45,40,67760,4
2023-12-01 09:20:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20242,20242,20237.35,20237.35,440,67800,5
2023-12-01 09:21:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20242.4,20242.4,20237.85,20241.8,200,67800,6
2023-12-01 09:22:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20237.4,20237.4,20230.25,20230.25,40,67800,7
2023-12-01 09:23:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20239,20243,20235.55,20243,280,67680,8
2023-12-01 09:24:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20242.35,20245.55,20239.05,20239.05,200,67680,9
2023-12-01 09:25:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20238.7,20244.7,20238,20244.7,280,67680,10
2023-12-01 09:26:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20246.95,20254.45,20246.95,20254.45,280,67960,11
2023-12-01 09:27:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20246.95,20252,20246.95,20252,80,67960,12
2023-12-01 09:28:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20252,20252,20247.05,20247.05,160,67960,13
2023-12-01 09:29:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20256.45,20260,20255.05,20258,280,67720,14
2023-12-01 09:30:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20255.05,20260,20255.05,20260,320,67720,15
2023-12-01 09:31:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20260,20262.3,20260,20262.3,520,67720,16
2023-12-01 09:32:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20260.05,20260.1,20260.05,20260.1,80,68160,17
2023-12-01 09:33:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20262.3,20280.5,20262.3,20280.5,160,68160,18
2023-12-01 09:34:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20270.2,20272.7,20270.2,20272.7,40,68160,19
2023-12-01 09:37:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20272.7,20272.7,20272.7,20272.7,0,68120,20
2023-12-01 09:38:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20275,20275,20275,20275,0,68160,21
2023-12-01 09:39:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20274.55,20274.55,20270.3,20270.3,40,68160,22
2023-12-01 09:40:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20274.55,20277,20274.55,20277,1000,68160,23
2023-12-01 09:41:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20272.25,20273.6,20267.15,20267.15,400,68120,24
2023-12-01 09:42:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20266.05,20273.3,20266.05,20273.3,240,68120,25
2023-12-01 09:43:00,NIFFIN,NFO,Futures,26-DEC-23,Others,0,20273.2,20273.2,20268.6,20269.55,120,68120,26
