datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2024-02-01 09:15:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20616.4,20616.6,20616.4,20616.6,240,79560,0
2024-02-01 09:16:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20632.8,20650,20632.8,20650,160,79560,1
2024-02-01 09:18:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20610,20610,20575,20575,960,79560,2
2024-02-01 09:19:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20593.5,20593.5,20572.65,20572.65,160,79360,3
2024-02-01 09:20:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20554.3,20574,20554.3,20574,1920,79360,4
2024-02-01 09:21:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20590,20590,20574.15,20574.15,560,82640,5
2024-02-01 09:22:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20591,20591.8,20591,20591.8,40,82640,6
2024-02-01 09:23:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20590.7,20590.7,20590.7,20590.7,0,82640,7
2024-02-01 09:24:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20564.2,20564.2,20541.2,20542.35,480,82480,8
2024-02-01 09:25:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20536,20539.95,20535,20539.95,120,82480,9
2024-02-01 09:26:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20530,20530,20526.6,20526.6,160,82360,10
2024-02-01 09:27:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20521.15,20555,20521.15,20554.95,200,82360,11
2024-02-01 09:28:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20557.15,20557.15,20556.2,20556.2,40,82360,12
2024-02-01 09:29:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20547.05,20554.85,20543.8,20543.8,80,82360,13
2024-02-01 09:30:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20533.15,20533.15,20533.15,20533.15,240,82200,14
2024-02-01 09:31:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20530.55,20530.55,20505,20505,400,82200,15
2024-02-01 09:32:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20508.6,20535,20508.6,20535,40,82200,16
2024-02-01 09:33:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20533.2,20533.2,20533.2,20533.2,0,82080,17
2024-02-01 09:34:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20538.05,20555,20538.05,20555,240,82080,18
2024-02-01 09:36:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20510,20511.2,20510,20511.2,40,82200,19
2024-02-01 09:38:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20511.2,20511.2,20495,20495.7,960,82000,20
2024-02-01 09:39:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20499,20499,20475,20475,320,82000,21
2024-02-01 09:40:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20476.7,20510.1,20476.7,20510.1,80,82000,22
2024-02-01 09:41:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20511.8,20511.8,20511.8,20511.8,40,82000,23
2024-02-01 09:43:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20514.75,20516.3,20505,20505,240,82000,24
2024-02-01 09:44:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20508.75,20508.75,20508.75,20508.75,0,81920,25
2024-02-01 09:45:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20502,20502,20472.8,20482.65,8400,81920,26
2024-02-01 09:46:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20504.45,20512.05,20504.45,20512.05,320,81920,27
2024-02-01 09:47:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20503.15,20503.15,20501.3,20501.3,120,81920,28
2024-02-01 09:48:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20494.85,20499.5,20494.85,20499.5,40,82520,29
2024-02-01 09:49:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20491.35,20491.35,20487.85,20487.85,200,82520,30
2024-02-01 09:50:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20486.35,20486.35,20486.35,20486.35,0,82520,31
2024-02-01 09:51:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20492.45,20492.45,20492.45,20492.45,0,82640,32
2024-02-01 09:52:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20498.85,20498.85,20498.85,20498.85,0,82640,33
2024-02-01 09:53:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20498.85,20498.85,20498.85,20498.85,40,82640,34
2024-02-01 09:54:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20524.05,20524.05,20506.9,20506.9,120,82680,35
2024-02-01 09:55:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20500,20500,20500,20500,0,82680,36
2024-02-01 09:56:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20514,20534.1,20514,20527.2,160,82600,37
2024-02-01 09:57:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20523.6,20525.55,20520,20525.55,80,82600,38
2024-02-01 09:58:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20523.55,20523.55,20508.1,20508.1,240,82600,39
2024-02-01 10:03:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20497.25,20503,20490.8,20503,280,82600,40
2024-02-01 10:04:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20504.6,20505.3,20504.6,20505.3,40,82600,41
2024-02-01 10:05:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20506,20506,20505.8,20505.8,40,82720,42
2024-02-01 10:13:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20545.8,20553.7,20545.8,20553.7,40,82760,43
2024-02-01 10:14:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20553.75,20553.75,20541.6,20541.6,40,82760,44
2024-02-01 10:15:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20541.8,20541.8,20512.7,20529.35,920,82760,45
2024-02-01 10:16:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20515.95,20515.95,20515.95,20515.95,0,82760,46
2024-02-01 10:17:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20539.8,20545,20539.8,20545,120,83160,47
2024-02-01 10:19:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20536.8,20536.8,20536.8,20536.8,0,83160,48
2024-02-01 10:22:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20530.6,20532,20530.6,20532,40,83120,49
2024-02-01 10:26:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20548.6,20548.6,20547.3,20548.05,200,83120,50
2024-02-01 10:27:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20553.75,20560,20553.75,20560,80,83120,51
2024-02-01 10:28:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20550,20550,20550,20550,0,83120,52
2024-02-01 10:29:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20560,20575,20560,20570.4,520,83280,53
2024-02-01 10:30:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20570.4,20570.4,20570.4,20570.4,0,83280,54
2024-02-01 10:32:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20556.9,20556.9,20556.9,20556.9,0,83280,55
2024-02-01 10:33:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20550,20550,20550,20550,40,83280,56
2024-02-01 10:34:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20565,20565,20565,20565,0,83280,57
2024-02-01 10:35:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20567.15,20575.05,20567.15,20575.05,120,83320,58
2024-02-01 10:36:00,NIFFIN,NFO,Futures,27-FEB-24,Others,0,20580,20595.25,20580,20595.25,200,83320,59
