datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2024-01-01 09:15:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21608.55,21608.55,21580.45,21586.65,600,65640,0
2024-01-01 09:16:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21581.85,21589.55,21580,21580,200,65640,1
2024-01-01 09:17:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21582.55,21582.55,21573,21573,80,65640,2
2024-01-01 09:18:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21575.2,21580.8,21574,21580.45,120,65640,3
2024-01-01 09:19:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21577.65,21577.65,21575,21575,40,65640,4
2024-01-01 09:20:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21578.5,21578.5,21562.7,21562.7,1160,65640,5
2024-01-01 09:21:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21569.3,21569.3,21567.65,21567.65,200,65640,6
2024-01-01 09:23:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21571.55,21571.55,21571.55,21571.55,0,65600,7
2024-01-01 09:24:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21581.1,21581.1,21581.1,21581.1,0,65600,8
2024-01-01 09:26:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21581.6,21583.8,21581.6,21583.8,40,65600,9
2024-01-01 09:27:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21582.1,21582.1,21582.1,21582.1,0,65600,10
2024-01-01 09:28:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21580.75,21580.85,21580.75,21580.85,40,65600,11
2024-01-01 09:33:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21582,21582,21582,21582,0,65800,12
2024-01-01 09:37:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21596.6,21596.6,21596.6,21596.6,0,65840,13
2024-01-01 09:38:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21590,21590.1,21590,21590.1,120,65840,14
2024-01-01 09:39:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21582,21582,21582,21582,0,65840,15
2024-01-01 09:43:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21585,21585,21585,21585,0,65840,16
2024-01-01 09:44:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21585,21585,21580,21580,40,66000,17
2024-01-01 09:45:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21582,21582,21582,21582,0,66000,18
2024-01-01 09:46:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21580,21580,21574,21574,40,66000,19
2024-01-01 09:47:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21587.1,21589.05,21587.1,21589.05,40,66080,20
2024-01-01 09:49:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21586.65,21590,21586.65,21590,40,66080,21
2024-01-01 09:51:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21599,21599,21599,21599,40,66120,22
2024-01-01 09:52:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21596,21599,21596,21599,40,66120,23
2024-01-01 09:53:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21599.15,21617.95,21599.15,21617.95,160,66200,24
2024-01-01 09:54:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21618,21620,21618,21620,80,66200,25
2024-01-01 09:55:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21622.3,21622.3,21622.3,21622.3,0,66200,26
2024-01-01 09:56:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21621.4,21621.4,21621.4,21621.4,0,66200,27
2024-01-01 09:57:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21626.8,21626.8,21619.9,21619.9,200,66080,28
2024-01-01 09:58:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21629.4,21629.6,21629.4,21629.6,40,66080,29
2024-01-01 09:59:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21619,21619,21619,21619,0,66080,30
2024-01-01 10:00:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21620.65,21620.65,21620.65,21620.65,0,66320,31
2024-01-01 10:01:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21618,21618,21618,21618,0,66320,32
2024-01-01 10:03:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21619.25,21619.25,21611.5,21611.85,1480,66320,33
2024-01-01 10:04:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21612.15,21612.15,21607.65,21608.7,3160,66320,34
2024-01-01 10:05:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21607.55,21610.3,21603.7,21604.4,2760,67800,35
2024-01-01 10:06:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21604.3,21614.3,21600.95,21603.1,720,67800,36
2024-01-01 10:08:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21602.3,21602.3,21602.3,21602.3,0,67800,37
2024-01-01 10:16:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21602.3,21602.3,21601,21601,160,68640,38
2024-01-01 10:22:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21600,21600,21600,21600,0,68560,39
2024-01-01 10:23:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21599.25,21599.25,21599.25,21599.25,0,68440,40
2024-01-01 10:24:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21603.9,21603.9,21603.9,21603.9,0,68440,41
2024-01-01 10:31:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21623.2,21623.2,21623.2,21623.2,0,68440,42
2024-01-01 10:32:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21623,21623,21623,21623,0,68440,43
2024-01-01 10:33:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21625,21625,21625,21625,0,68440,44
2024-01-01 10:35:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21632.55,21632.55,21632.45,21632.45,120,68240,45
2024-01-01 10:37:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21640,21640,21640,21640,0,68240,46
2024-01-01 10:39:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21642.1,21642.1,21642.1,21642.1,0,68280,47
2024-01-01 10:41:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21658.45,21658.45,21649,21649,120,68440,48
2024-01-01 10:44:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21652,21652,21652,21652,40,68440,49
2024-01-01 10:45:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21655.85,21655.85,21652.3,21652.3,160,68440,50
2024-01-01 10:46:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21653,21653,21653,21653,0,68440,51
2024-01-01 10:47:00,NIFFIN,NFO,Futures,30-JAN-24,Others,0,21653,21653,21653,21653,80,68440,52
