datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2024-03-01 09:15:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20618.3,20675,20608.35,20675,3160,51800,0
2024-03-01 09:16:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20675.75,20687.65,20662.85,20666.3,1480,51800,1
2024-03-01 09:17:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20661.2,20670,20661.2,20670,440,51800,2
2024-03-01 09:18:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20673.35,20674.85,20670,20670,1120,51880,3
2024-03-01 09:19:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20670,20677.55,20665.3,20677.55,760,51880,4
2024-03-01 09:20:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20671.3,20671.3,20665.5,20665.6,240,51880,5
2024-03-01 09:21:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20667,20667,20664.7,20664.7,400,51960,6
2024-03-01 09:22:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20665,20672.7,20663.15,20672.7,80,51960,7
2024-03-01 09:23:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20666.75,20666.75,20661.35,20661.35,40,51960,8
2024-03-01 09:24:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20661.55,20661.55,20660.9,20660.9,40,51800,9
2024-03-01 09:25:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20665.3,20665.3,20660.55,20665,760,51800,10
2024-03-01 09:26:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20668,20671.9,20668,20668.6,320,51800,11
2024-03-01 09:27:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20668.7,20668.7,20668.4,20668.4,40,51800,12
2024-03-01 09:28:00,NIFFIN,NFO,Futures,26-MAR-24,Others,0,20666.25,20666.25,20666.25,20666.25,0,51280,13
