datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2024-02-01 09:15:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10705,10710,10675.9,10690.05,1650,710700,0
2024-02-01 09:16:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10694.95,10709.95,10688.5,10688.5,825,710700,1
2024-02-01 09:17:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10690.95,10698.95,10689.9,10689.9,375,710700,2
2024-02-01 09:18:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10690,10690,10681,10683,600,710700,3
2024-02-01 09:19:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10682.95,10682.95,10671,10672.2,2550,710925,4
2024-02-01 09:20:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10673.45,10675.45,10673.15,10675.45,450,710925,5
2024-02-01 09:21:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10676.9,10677.2,10668,10668.15,1500,711750,6
2024-02-01 09:22:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10671.5,10673.95,10671,10671.95,675,711750,7
2024-02-01 09:23:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10671.9,10673,10670,10670,1425,711225,8
2024-02-01 09:24:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10667.5,10668.05,10660.65,10665.45,675,711225,9
2024-02-01 09:25:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10660,10667.15,10656.6,10667.15,2550,711225,10
2024-02-01 09:26:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10660.5,10662.9,10656,10656,825,712350,11
2024-02-01 09:27:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10658.3,10672.1,10656.4,10672.1,1500,712350,12
2024-02-01 09:28:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10673,10684.2,10673,10679,525,712350,13
2024-02-01 09:29:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10674.6,10674.6,10660.35,10667.4,1500,710550,14
2024-02-01 09:30:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10665,10675,10665,10674,22800,710550,15
2024-02-01 09:31:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10674.15,10678.15,10674.15,10678.15,75,710550,16
2024-02-01 09:32:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10670,10683.3,10670,10680.25,450,714900,17
2024-02-01 09:33:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10686.7,10686.7,10678.1,10681,1725,714900,18
2024-02-01 09:34:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10683,10683,10675.3,10676,2175,714900,19
2024-02-01 09:35:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10675.3,10675.3,10666,10668.05,1800,712200,20
2024-02-01 09:36:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10668.55,10668.55,10668.05,10668.05,1200,712200,21
2024-02-01 09:37:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10662.05,10667.65,10662.05,10667.65,300,712200,22
2024-02-01 09:38:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10666,10668.85,10666,10668.85,75,711750,23
2024-02-01 09:39:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10670,10673.45,10670,10673.45,75,711750,24
2024-02-01 09:40:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10679,10695,10673.9,10692,3225,711750,25
2024-02-01 09:41:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10688.95,10691,10686,10690.95,2475,710100,26
2024-02-01 09:42:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10690.95,10691.65,10690.95,10691.65,1350,710100,27
2024-02-01 09:43:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10689.05,10692.85,10687.85,10687.85,225,710100,28
2024-02-01 09:44:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10690,10690,10679.75,10679.75,11175,717375,29
2024-02-01 09:45:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10679.75,10679.95,10679.75,10679.75,3075,717375,30
2024-02-01 09:46:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10679.75,10686.95,10679.75,10686.95,10875,717375,31
2024-02-01 09:47:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10686.95,10686.95,10678.75,10678.75,300,734250,32
2024-02-01 09:48:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10680.55,10684.3,10680.55,10684.3,150,734250,33
2024-02-01 09:49:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10680.55,10680.65,10680.55,10680.55,150,734250,34
2024-02-01 09:50:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10680.55,10682,10680.55,10682,75,734625,35
2024-02-01 09:51:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10681,10681,10681,10681,0,734625,36
2024-02-01 09:52:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10680.05,10682,10678,10682,225,734625,37
2024-02-01 09:53:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10678,10678.7,10675,10675,825,734100,38
2024-02-01 09:54:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10682,10682,10682,10682,0,734100,39
2024-02-01 09:55:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10680.1,10680.1,10680.1,10680.1,0,734100,40
2024-02-01 09:56:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10680.05,10680.05,10680.05,10680.05,0,734175,41
2024-02-01 09:57:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10673.05,10673.05,10673.05,10673.05,0,734175,42
2024-02-01 09:58:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10670.6,10670.6,10662.2,10664.75,375,734175,43
2024-02-01 09:59:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10660,10661.65,10657.9,10658.05,975,734100,44
2024-02-01 10:00:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10664.6,10664.65,10664.6,10664.65,225,734100,45
2024-02-01 10:01:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10665,10665,10656.9,10658.7,300,734100,46
2024-02-01 10:02:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10656,10656,10651.05,10653.5,675,734100,47
2024-02-01 10:03:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10650,10650,10641,10643.25,1500,734100,48
2024-02-01 10:04:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10650,10660.3,10650,10655,1200,734100,49
2024-02-01 10:05:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10655,10660,10655,10660,825,733875,50
2024-02-01 10:06:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10660,10660,10656.75,10658.05,375,733875,51
2024-02-01 10:07:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10656.75,10660,10656,10660,150,733875,52
2024-02-01 10:08:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10660,10660,10660,10660,0,733875,53
2024-02-01 10:09:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10664.25,10664.25,10660,10660,750,735150,54
2024-02-01 10:10:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10660,10660,10658.25,10658.25,375,735150,55
2024-02-01 10:11:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10662.1,10662.1,10662.1,10662.1,0,734850,56
2024-02-01 10:12:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10655.35,10659.95,10655.35,10659.95,150,734850,57
2024-02-01 10:13:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10656.2,10656.2,10655.15,10655.65,375,734850,58
2024-02-01 10:14:00,NIFSEL,NFO,Futures,26-FEB-24,Others,0,10655.65,10657.35,10652.95,10652.95,525,734625,59
