datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2024-02-01 09:15:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21840.25,21842.65,21797.15,21813.7,117200,11246500,0
2024-02-01 09:16:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21816.65,21830,21812,21821.1,72950,11246500,1
2024-02-01 09:17:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21818.05,21824.6,21810.7,21814.6,43350,11246500,2
2024-02-01 09:18:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21814.05,21818.85,21796,21796.85,42550,11253800,3
2024-02-01 09:19:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21796.85,21803,21783.15,21788,41050,11253800,4
2024-02-01 09:20:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21784.4,21808.4,21784.4,21806.5,48350,11284850,5
2024-02-01 09:21:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21805.4,21815.75,21790,21812.8,29700,11284850,6
2024-02-01 09:22:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21808,21822,21808,21816.45,29450,11284850,7
2024-02-01 09:23:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21817,21824.5,21802.4,21810,33550,11297300,8
2024-02-01 09:24:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21809.35,21810,21798,21798.5,19450,11297300,9
2024-02-01 09:25:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21797,21803.75,21792.6,21794.45,18050,11297300,10
2024-02-01 09:26:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21791.05,21800,21789,21789,21100,11313300,11
2024-02-01 09:27:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21789,21805.5,21788,21796.7,22400,11313300,12
2024-02-01 09:28:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21800,21819.7,21800,21803.9,33050,11313300,13
2024-02-01 09:29:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21806.85,21810.15,21786.35,21792.55,29700,11344150,14
2024-02-01 09:30:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21797.95,21808.95,21788,21790.4,18300,11344150,15
2024-02-01 09:31:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21790.1,21798.3,21781,21783.3,23650,11344150,16
2024-02-01 09:32:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21785.8,21809.15,21785.8,21806.95,21950,11359900,17
2024-02-01 09:33:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21810,21818.3,21803.2,21815.9,17550,11359900,18
2024-02-01 09:34:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21813.7,21823.9,21813.7,21818.45,19700,11359900,19
2024-02-01 09:35:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21814.05,21818.1,21797.05,21800.55,24350,11360500,20
2024-02-01 09:36:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21799.65,21799.65,21787.5,21790,28750,11360500,21
2024-02-01 09:37:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21790.25,21799.95,21787,21788.55,25850,11360500,22
2024-02-01 09:38:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21788,21792.8,21785,21787.65,19200,11368950,23
2024-02-01 09:39:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21790.4,21794.3,21771.9,21775.8,36800,11368950,24
2024-02-01 09:40:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21774,21811.55,21772,21808.55,33650,11368950,25
2024-02-01 09:41:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21805.15,21812.9,21800.15,21811,19950,11383400,26
2024-02-01 09:42:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21808.05,21819.95,21803.7,21812.7,16600,11383400,27
2024-02-01 09:43:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21814.75,21816.95,21806.95,21807,16850,11383400,28
2024-02-01 09:44:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21808.8,21817.25,21800.65,21815,20400,11392800,29
2024-02-01 09:45:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21814.25,21824.6,21808,21824.6,24800,11392800,30
2024-02-01 09:46:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21825,21831.25,21824.6,21828.6,40450,11392800,31
2024-02-01 09:47:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21829,21829.8,21813.3,21818.05,15500,11404450,32
2024-02-01 09:48:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21818.5,21829,21811.9,21827.75,19650,11404450,33
2024-02-01 09:49:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21825.5,21825.5,21811.65,21818.4,13900,11404450,34
2024-02-01 09:50:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21817.55,21832,21810,21829.55,37600,11415200,35
2024-02-01 09:51:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21831.65,21831.65,21820,21823.65,11500,11415200,36
2024-02-01 09:52:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21820.5,21828,21815,21824.95,8700,11415200,37
2024-02-01 09:53:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21826.3,21830,21820,21830,10300,11414350,38
2024-02-01 09:54:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21829,21833,21825.1,21825.1,15250,11414350,39
2024-02-01 09:55:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21824.4,21831,21818,21830,13100,11414350,40
2024-02-01 09:56:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21830,21832,21822.45,21827.5,11400,11302000,41
2024-02-01 09:57:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21826,21833.8,21825,21831.6,4300,11302000,42
2024-02-01 09:58:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21830.3,21834,21825.5,21827,8350,11302000,43
2024-02-01 09:59:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21828,21836.1,21825.1,21836.1,18050,11311100,44
2024-02-01 10:00:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21836.4,21842.65,21831.5,21835.2,25000,11311100,45
2024-02-01 10:01:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21839.25,21839.25,21828,21830.5,15400,11311100,46
2024-02-01 10:02:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21828.75,21833.15,21822.8,21825,18450,11328450,47
2024-02-01 10:03:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21825.85,21826.6,21812.5,21825.4,27150,11328450,48
2024-02-01 10:04:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21825.5,21837.8,21824.9,21835.15,15150,11328450,49
2024-02-01 10:05:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21830.25,21843.15,21825.35,21843.15,18200,11353550,50
2024-02-01 10:06:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21840,21850,21839.9,21850,34400,11353550,51
2024-02-01 10:07:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21847.5,21866.05,21845.5,21858.1,73650,11353550,52
2024-02-01 10:08:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21858.5,21881.15,21852.9,21878.4,76050,11403250,53
2024-02-01 10:09:00,NIFTY,NFO,Futures,29-FEB-24,Others,0,21879.25,21884,21866.2,21871.6,44000,11403250,54
