datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2023-12-01 09:16:00,NIFFIN,NFO,Options,05-DEC-23,19600,20240.0,Call,516.95,521.8,512.95,521.8,1360,40040,Put,10.6,10.75,10.1,10.1,86160,504120
2023-12-01 09:16:00,NIFFIN,NFO,Options,05-DEC-23,20000,20240.0,Call,181,182.2,176.35,182.2,57360,684360,Put,70.35,74,70.2,70.85,164000,761880
2023-12-01 09:16:00,NIFFIN,NFO,Options,05-DEC-23,20400,20240.0,Call,24,24.5,22.75,24.5,123360,436720,Put,319.7,319.7,313.25,313.25,960,12480
2023-12-01 09:17:00,NIFFIN,NFO,Options,05-DEC-23,19600,20234.5,Call,516,521.85,513.55,518.2,8440,40920,Put,10.15,10.3,9.9,9.95,87480,566640
2023-12-01 09:17:00,NIFFIN,NFO,Options,05-DEC-23,20000,20234.5,Call,180.25,181.6,177.05,179.6,92240,683760,Put,70.95,73.2,70.7,71.25,132520,855480
2023-12-01 09:17:00,NIFFIN,NFO,Options,05-DEC-23,20400,20234.5,Call,24.5,24.5,23.05,23.35,109680,499280,Put,318,318.85,313.2,313.2,840,16440
2023-12-01 09:18:00,NIFFIN,NFO,Options,05-DEC-23,19600,20237.45,Call,520.8,523.05,520,523.05,2800,40920,Put,9.95,10,9.7,9.85,86400,566640
2023-12-01 09:18:00,NIFFIN,NFO,Options,05-DEC-23,20000,20237.45,Call,178.4,184.55,177.9,183.45,105080,683760,Put,71.25,71.25,69.05,70.25,163800,855480
2023-12-01 09:18:00,NIFFIN,NFO,Options,05-DEC-23,20400,20237.45,Call,23,24.3,23,23.95,154280,499280,Put,313.25,314.6,307.5,311.95,4120,16440
2023-12-01 09:18:00,NIFFIN,NFO,Options,12-DEC-23,20000,20237.45,Call,265.75,265.75,265.75,265.75,0,8600,Put,120,123.85,120,120,80,14840
2023-12-01 09:19:00,NIFFIN,NFO,Options,05-DEC-23,19600,20237.45,Call,520,520,520,520,0,40920,Put,9.85,9.9,9.65,9.65,36440,566640
2023-12-01 09:19:00,NIFFIN,NFO,Options,05-DEC-23,20000,20237.45,Call,183.4,184.15,180.95,183.7,99880,683760,Put,69.8,70.75,68.55,68.75,150680,855480
2023-12-01 09:19:00,NIFFIN,NFO,Options,05-DEC-23,20400,20237.45,Call,23.9,23.9,23.2,23.75,91360,499280,Put,311.2,313.25,307.55,307.55,2360,16440
2023-12-01 09:19:00,NIFFIN,NFO,Options,12-DEC-23,20000,20237.45,Call,265,265,260.1,262.1,480,8600,Put,120,120,120,120,0,14840
2023-12-01 09:22:00,NIFFIN,NFO,Options,05-DEC-23,19600,20230.25,Call,521.65,521.65,521.65,521.65,0,50400,Put,9.45,9.85,9.4,9.6,55320,611600
2023-12-01 09:22:00,NIFFIN,NFO,Options,05-DEC-23,20000,20230.25,Call,183.65,183.65,176.15,180.55,41080,628240,Put,67.6,70.4,67.3,68.65,77760,867560
2023-12-01 09:22:00,NIFFIN,NFO,Options,05-DEC-23,20400,20230.25,Call,23.2,23.2,21.3,22.2,89120,542760,Put,308.25,310.8,308.25,309.85,1440,19200
2023-12-01 09:22:00,NIFFIN,NFO,Options,12-DEC-23,20000,20230.25,Call,267.5,267.5,267.5,267.5,0,8040,Put,116.45,121.85,116.45,121.85,40,15200
2023-12-01 09:23:00,NIFFIN,NFO,Options,05-DEC-23,19600,20243.0,Call,520.8,520.8,520.8,520.8,0,50520,Put,9.5,9.6,9.25,9.3,36360,653480
2023-12-01 09:23:00,NIFFIN,NFO,Options,05-DEC-23,20000,20243.0,Call,180.35,182.4,179.4,180.75,21080,634280,Put,68.75,68.75,66.85,67.7,140560,938760
2023-12-01 09:23:00,NIFFIN,NFO,Options,05-DEC-23,20400,20243.0,Call,22.1,22.6,21.75,22.2,71320,577120,Put,310.05,310.3,306.5,308.65,920,23960
2023-12-01 09:25:00,NIFFIN,NFO,Options,05-DEC-23,19600,20244.7,Call,527.45,527.45,527.45,527.45,0,50520,Put,9.25,9.35,9.15,9.3,48480,653480
2023-12-01 09:25:00,NIFFIN,NFO,Options,05-DEC-23,20000,20244.7,Call,181.8,184.8,181.3,184.15,30960,634280,Put,66.45,66.5,65.5,65.65,121160,938760
2023-12-01 09:25:00,NIFFIN,NFO,Options,05-DEC-23,20400,20244.7,Call,22.55,23.4,22.4,23.2,53480,577120,Put,304.15,304.15,304.15,304.15,0,23960
2023-12-01 09:25:00,NIFFIN,NFO,Options,26-DEC-23,20000,20244.7,Call,377.9,377.9,368.8,368.8,40,720,Put,180.55,180.55,180.55,180.55,0,6560
2023-12-01 09:26:00,NIFFIN,NFO,Options,05-DEC-23,19600,20254.45,Call,537,537,532.45,532.45,720,50400,Put,9.25,9.25,9,9.1,33240,643720
2023-12-01 09:26:00,NIFFIN,NFO,Options,05-DEC-23,20000,20254.45,Call,184.05,192.75,184.05,189.4,76240,642480,Put,65.8,65.9,61.95,64.2,197040,1113600
2023-12-01 09:26:00,NIFFIN,NFO,Options,05-DEC-23,20400,20254.45,Call,23.1,25.15,23.1,24.05,113920,589880,Put,293.55,295.95,293.55,295.95,120,25160
2023-12-01 09:31:00,NIFFIN,NFO,Options,05-DEC-23,19600,20262.3,Call,540.75,542.9,540.75,542.9,40,50800,Put,8.5,8.85,8.45,8.7,58120,647160
2023-12-01 09:31:00,NIFFIN,NFO,Options,05-DEC-23,20000,20262.3,Call,196.1,196.75,193.15,194.85,18800,617480,Put,60.85,62.6,60.8,62.45,75000,1155680
2023-12-01 09:31:00,NIFFIN,NFO,Options,05-DEC-23,20400,20262.3,Call,25.4,25.6,24.95,25.5,51920,568640,Put,289.05,289.05,289.05,289.05,160,25600
2023-12-01 09:31:00,NIFFIN,NFO,Options,12-DEC-23,20000,20262.3,Call,276.9,279.25,276.9,279.25,40,8800,Put,112.7,112.95,112.7,112.95,800,16480
2023-12-01 09:34:00,NIFFIN,NFO,Options,05-DEC-23,19600,20272.7,Call,558.8,558.8,558.8,558.8,0,50800,Put,8.55,8.8,8.5,8.6,25520,662640
2023-12-01 09:34:00,NIFFIN,NFO,Options,05-DEC-23,20000,20272.7,Call,214.2,214.2,204,206.95,26680,598000,Put,56.15,59.65,56.15,58.4,106960,1197280
2023-12-01 09:34:00,NIFFIN,NFO,Options,05-DEC-23,20400,20272.7,Call,29.65,29.65,27.55,29,94480,572240,Put,273.5,279.2,273.5,279.2,400,25600
2023-12-01 09:34:00,NIFFIN,NFO,Options,12-DEC-23,20000,20272.7,Call,293.2,293.2,293.2,293.2,0,8520,Put,109,109.9,109,109,120,17560
2023-12-01 09:41:00,NIFFIN,NFO,Options,05-DEC-23,19600,20267.15,Call,563,563,561.75,561.75,80,50800,Put,8.8,8.95,8.75,8.9,23720,654000
2023-12-01 09:41:00,NIFFIN,NFO,Options,05-DEC-23,20000,20267.15,Call,214.3,216.25,209.65,209.65,27360,567800,Put,58.3,59.7,57.8,59.55,76800,1253480
2023-12-01 09:41:00,NIFFIN,NFO,Options,05-DEC-23,20400,20267.15,Call,31.15,31.9,29.95,29.95,110640,525040,Put,272.55,280.8,272.55,280.8,1400,27320
2023-12-01 09:45:00,NIFFIN,NFO,Options,05-DEC-23,19600,20264.55,Call,552.25,552.25,552.25,552.25,0,50800,Put,9,9,8.85,8.95,19200,668880
2023-12-01 09:45:00,NIFFIN,NFO,Options,05-DEC-23,20000,20264.55,Call,203.95,209.85,203.95,207.65,15040,577000,Put,60.3,60.75,59.05,60,84960,1248560
2023-12-01 09:45:00,NIFFIN,NFO,Options,05-DEC-23,20400,20264.55,Call,28.55,29.9,28.35,29.3,57800,548080,Put,284.1,284.1,280,280.65,440,27680
2023-12-01 09:49:00,NIFFIN,NFO,Options,05-DEC-23,19600,20290.0,Call,579.75,579.75,579.75,579.75,0,50800,Put,8.75,8.75,7.7,7.75,71400,662360
2023-12-01 09:49:00,NIFFIN,NFO,Options,05-DEC-23,20000,20290.0,Call,208.25,230.5,208.25,230.5,103680,569880,Put,59.2,59.3,50.4,50.8,366600,1273960
2023-12-01 09:49:00,NIFFIN,NFO,Options,05-DEC-23,20400,20290.0,Call,29.25,35.8,29.25,35.75,320000,558880,Put,277.3,277.3,257.7,261.7,3120,27560
2023-12-01 09:49:00,NIFFIN,NFO,Options,12-DEC-23,20000,20290.0,Call,300,313.9,300,313.9,40,8320,Put,105,105,100.1,101.3,680,19040
2023-12-01 09:51:00,NIFFIN,NFO,Options,05-DEC-23,19600,20302.45,Call,609,609,600.5,600.5,40,50800,Put,7.8,8.2,7.8,8.05,46320,630640
2023-12-01 09:51:00,NIFFIN,NFO,Options,05-DEC-23,20000,20302.45,Call,248.55,248.55,242.8,244.2,27240,563800,Put,49.25,50.7,49.25,49.85,131040,1224720
2023-12-01 09:51:00,NIFFIN,NFO,Options,05-DEC-23,20400,20302.45,Call,43.7,43.7,41.25,41.6,165240,552720,Put,241.5,247.55,241.5,245.75,280,27080
2023-12-01 09:54:00,NIFFIN,NFO,Options,05-DEC-23,19600,20325.85,Call,644.7,644.7,634.25,635.4,80,50760,Put,8.6,8.6,8.4,8.55,56640,604520
2023-12-01 09:54:00,NIFFIN,NFO,Options,05-DEC-23,20000,20325.85,Call,273.9,279.85,273.7,273.7,18200,547400,Put,48.2,48.85,46.65,48.85,142080,1247000
2023-12-01 09:54:00,NIFFIN,NFO,Options,05-DEC-23,20400,20325.85,Call,56.2,57.9,55.6,55.6,211600,559640,Put,228.7,233.55,224.55,233.55,4920,27440
2023-12-01 09:58:00,NIFFIN,NFO,Options,05-DEC-23,19600,20328.1,Call,619.45,625,619.45,622.8,80,50760,Put,8.1,8.1,7.8,7.85,48480,606680
2023-12-01 09:58:00,NIFFIN,NFO,Options,05-DEC-23,20000,20328.1,Call,260.55,268.6,259.4,263.4,7200,563480,Put,49.95,50.05,48.05,48.15,56200,1297840
2023-12-01 09:58:00,NIFFIN,NFO,Options,05-DEC-23,20400,20328.1,Call,48.95,51.45,48.45,50.55,107080,620040,Put,238.25,238.25,230,231.15,5200,29920
2023-12-01 09:58:00,NIFFIN,NFO,Options,12-DEC-23,20000,20328.1,Call,345.45,345.45,345.45,345.45,0,6720,Put,96.85,96.85,95.35,95.35,80,21760
2023-12-01 10:00:00,NIFFIN,NFO,Options,05-DEC-23,19600,20322.65,Call,617.3,617.3,617.3,617.3,0,50800,Put,8.3,8.45,8.25,8.45,14160,648080
2023-12-01 10:00:00,NIFFIN,NFO,Options,05-DEC-23,20000,20322.65,Call,260.9,260.9,255,256,12640,566280,Put,49.5,51.75,49.5,51.75,107520,1323800
2023-12-01 10:00:00,NIFFIN,NFO,Options,05-DEC-23,20400,20322.65,Call,48.6,49.2,47.05,47.05,123120,685080,Put,236,243.7,236,243.7,5320,43480
2023-12-01 10:03:00,NIFFIN,NFO,Options,05-DEC-23,19600,20327.15,Call,621.8,621.8,619.75,619.75,40,50800,Put,7.95,8.15,7.9,8.1,18120,639920
2023-12-01 10:03:00,NIFFIN,NFO,Options,05-DEC-23,20000,20327.15,Call,267,267,257,257,7000,561440,Put,47.9,50.15,47.9,50.1,50160,1344160
2023-12-01 10:03:00,NIFFIN,NFO,Options,05-DEC-23,20400,20327.15,Call,50.2,50.2,46.25,46.85,115200,694240,Put,229.55,239.4,229.55,239.4,7280,46560
2023-12-01 10:03:00,NIFFIN,NFO,Options,12-DEC-23,20000,20327.15,Call,345,345,345,345,0,6640,Put,95.75,97.45,95.75,97.45,40,21800
2023-12-01 10:08:00,NIFFIN,NFO,Options,05-DEC-23,19600,20312.55,Call,601.5,601.5,601.5,601.5,0,50800,Put,8.35,8.65,8.35,8.65,7760,661880
2023-12-01 10:08:00,NIFFIN,NFO,Options,05-DEC-23,20000,20312.55,Call,255.5,256,246.1,246.1,11240,558960,Put,51.55,53.55,51.4,53.55,53880,1351800
2023-12-01 10:08:00,NIFFIN,NFO,Options,05-DEC-23,20400,20312.55,Call,46.25,46.35,42.5,42.5,78800,812320,Put,241,248.9,241,248.9,2240,54080
2023-12-01 10:08:00,NIFFIN,NFO,Options,12-DEC-23,20000,20312.55,Call,335,335,335,335,0,6640,Put,98.35,99.4,98.35,99.4,200,22360
2023-12-01 10:12:00,NIFFIN,NFO,Options,05-DEC-23,19600,20331.0,Call,632,632,631.05,631.05,80,51080,Put,8.3,8.3,8.05,8.15,10600,661840
2023-12-01 10:12:00,NIFFIN,NFO,Options,05-DEC-23,20000,20331.0,Call,267,271.1,266.5,269.1,7040,557040,Put,48.45,48.45,47,47.65,52600,1366320
2023-12-01 10:12:00,NIFFIN,NFO,Options,05-DEC-23,20400,20331.0,Call,50.4,51.45,49.1,51.2,112200,823640,Put,230.4,231.4,225,225,640,59160
2023-12-01 10:12:00,NIFFIN,NFO,Options,12-DEC-23,20000,20331.0,Call,354.6,354.6,351.25,351.5,160,6440,Put,95.95,95.95,95.95,95.95,0,22840
2023-12-01 10:13:00,NIFFIN,NFO,Options,05-DEC-23,19600,20332.05,Call,632.7,632.7,632.25,632.25,160,51080,Put,8.15,8.2,8,8.2,5880,661840
2023-12-01 10:13:00,NIFFIN,NFO,Options,05-DEC-23,20000,20332.05,Call,269.5,272.45,268.65,272.45,8480,557040,Put,47.65,47.7,46.7,47.25,43000,1366320
2023-12-01 10:13:00,NIFFIN,NFO,Options,05-DEC-23,20400,20332.05,Call,50.15,51.6,50.1,51.35,59440,823640,Put,228.2,228.2,225.9,225.9,400,59160
