datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2024-02-06 11:32:00,NIFFIN,NFO,Options,06-FEB-24,19500,20412.0,Call,806,806,806,806,0,800,Put,.4,.45,.4,.45,29440,5494400
2024-02-06 11:32:00,NIFFIN,NFO,Options,06-FEB-24,19800,20412.0,Call,515.15,515.15,515.15,515.15,0,5800,Put,.9,.9,.85,.85,155360,7853760
2024-02-06 11:32:00,NIFFIN,NFO,Options,06-FEB-24,20100,20412.0,Call,206.85,213.75,206.85,208.8,38640,205960,Put,3.4,3.5,3.15,3.25,1518320,7515880
2024-02-06 11:32:00,NIFFIN,NFO,Options,06-FEB-24,20400,20412.0,Call,7.95,10.5,7.95,9.45,3672720,11399760,Put,106.15,106.15,99.95,104.15,571040,1175320
2024-02-06 11:32:00,NIFFIN,NFO,Options,06-FEB-24,20700,20412.0,Call,.6,.65,.55,.65,1112640,6751160,Put,387,388.55,387,388.55,240,212800
2024-02-06 11:32:00,NIFFIN,NFO,Options,06-FEB-24,21000,20412.0,Call,.35,.4,.35,.35,53360,8445360,Put,690.25,690.25,690.25,690.25,0,55760
2024-02-06 11:32:00,NIFFIN,NFO,Options,13-FEB-24,19500,20412.0,Call,856,856,856,856,0,40,Put,22.25,22.9,22.25,22.9,400,24400
2024-02-06 11:32:00,NIFFIN,NFO,Options,13-FEB-24,20400,20412.0,Call,175.6,175.6,173.25,173.25,280,64960,Put,227.65,229.45,226.95,229.45,240,42080
2024-02-06 11:32:00,NIFFIN,NFO,Options,13-FEB-24,20700,20412.0,Call,68.2,70.95,68.2,70.3,680,16400,Put,419.45,419.45,419.45,419.45,0,10120
2024-02-06 11:33:00,NIFFIN,NFO,Options,06-FEB-24,19500,20428.45,Call,826.4,828.85,823.65,823.65,480,800,Put,.45,.45,.4,.4,70720,5494400
2024-02-06 11:33:00,NIFFIN,NFO,Options,06-FEB-24,19800,20428.45,Call,535.65,535.65,527.6,527.6,240,5800,Put,.9,.9,.8,.8,697480,7853760
2024-02-06 11:33:00,NIFFIN,NFO,Options,06-FEB-24,20100,20428.45,Call,214.7,238.2,214.7,233.65,81000,205960,Put,3.2,3.35,2.9,2.9,5634560,7515880
2024-02-06 11:33:00,NIFFIN,NFO,Options,06-FEB-24,20400,20428.45,Call,17.3,17.3,14.35,15.6,7836760,11399760,Put,99,99,82.55,86,1216000,1175320
2024-02-06 11:33:00,NIFFIN,NFO,Options,06-FEB-24,20700,20428.45,Call,.65,.75,.65,.7,2167520,6751160,Put,368.85,376.1,368.85,370,2400,212800
2024-02-06 11:33:00,NIFFIN,NFO,Options,06-FEB-24,21000,20428.45,Call,.35,.4,.35,.4,120560,8445360,Put,676.8,676.8,676.8,676.8,0,55760
2024-02-06 11:33:00,NIFFIN,NFO,Options,06-FEB-24,21300,20428.45,Call,.35,.35,.3,.3,48960,2079960,Put,980.4,980.4,980.4,980.4,0,1920
2024-02-06 11:33:00,NIFFIN,NFO,Options,13-FEB-24,19500,20428.45,Call,866,866,866,866,0,40,Put,21.8,21.8,21.5,21.5,120,24400
2024-02-06 11:33:00,NIFFIN,NFO,Options,13-FEB-24,20400,20428.45,Call,187.7,187.7,185.35,187.7,11360,64960,Put,217.35,219.9,214.9,216.75,2880,42080
2024-02-06 11:33:00,NIFFIN,NFO,Options,13-FEB-24,20700,20428.45,Call,74.8,75.05,74,75.05,440,16400,Put,414.75,414.75,414.75,414.75,0,10120
2024-02-06 11:34:00,NIFFIN,NFO,Options,06-FEB-24,19500,20469.1,Call,876.55,876.55,876.55,876.55,0,800,Put,.4,.45,.4,.4,680200,5616240
2024-02-06 11:34:00,NIFFIN,NFO,Options,06-FEB-24,19800,20469.1,Call,564.85,572.85,562.5,572.85,80,5800,Put,.85,.85,.75,.8,1178000,7853760
2024-02-06 11:34:00,NIFFIN,NFO,Options,06-FEB-24,20100,20469.1,Call,272.45,282.05,262.75,273.35,55760,191840,Put,3.5,3.5,2.5,2.5,5969920,7515880
2024-02-06 11:34:00,NIFFIN,NFO,Options,06-FEB-24,20400,20469.1,Call,17.4,33.85,17.4,30.55,13093960,8136200,Put,63.35,64.6,56.45,61.5,1992840,1175320
2024-02-06 11:34:00,NIFFIN,NFO,Options,06-FEB-24,20700,20469.1,Call,1.05,1.2,.9,1.2,3730040,6256880,Put,357.3,357.3,326.95,333.95,19680,212800
2024-02-06 11:34:00,NIFFIN,NFO,Options,06-FEB-24,21000,20469.1,Call,.35,.45,.35,.45,989960,8494960,Put,634.7,637.55,622.45,632.2,760,55760
2024-02-06 11:34:00,NIFFIN,NFO,Options,06-FEB-24,21300,20469.1,Call,.3,.35,.3,.35,44240,2113240,Put,937,937,937,937,0,1920
2024-02-06 11:34:00,NIFFIN,NFO,Options,13-FEB-24,20400,20469.1,Call,199.9,205.65,197.85,204.75,21680,66520,Put,200.85,205.3,192.4,194.7,19360,44400
2024-02-06 11:34:00,NIFFIN,NFO,Options,13-FEB-24,20700,20469.1,Call,76.35,84.65,76.35,83,7040,18760,Put,377.8,379.95,377.8,379.95,720,10120
2024-02-06 11:37:00,NIFFIN,NFO,Options,06-FEB-24,19500,20458.0,Call,857,857,857,857,0,840,Put,.45,.45,.4,.4,31920,5672640
2024-02-06 11:37:00,NIFFIN,NFO,Options,06-FEB-24,20100,20458.0,Call,265,265,254,254,13120,165920,Put,2.2,2.5,2.1,2.3,2076880,7059800
2024-02-06 11:37:00,NIFFIN,NFO,Options,06-FEB-24,20400,20458.0,Call,26.45,26.45,20.55,20.55,4592240,9318040,Put,61.8,67.15,60.85,67.15,864920,1539800
2024-02-06 11:37:00,NIFFIN,NFO,Options,06-FEB-24,20700,20458.0,Call,1,1.05,.85,.85,872760,6431480,Put,340.1,349.75,337.85,349.75,1200,202640
2024-02-06 11:37:00,NIFFIN,NFO,Options,13-FEB-24,20400,20458.0,Call,200,201.65,197,197,5800,64440,Put,199.75,201.55,197.4,201.55,1560,44400
2024-02-06 11:37:00,NIFFIN,NFO,Options,13-FEB-24,20700,20458.0,Call,82.3,82.75,80.05,80.05,1600,17880,Put,381,381,381,381,80,10200
2024-02-06 11:38:00,NIFFIN,NFO,Options,06-FEB-24,19500,20458.65,Call,855,855,855,855,0,840,Put,.4,.4,.4,.4,136000,5672640
2024-02-06 11:38:00,NIFFIN,NFO,Options,06-FEB-24,20100,20458.65,Call,254.85,259.1,250.5,250.5,3360,165920,Put,2.35,2.55,2.3,2.35,1151720,6645440
2024-02-06 11:38:00,NIFFIN,NFO,Options,06-FEB-24,20400,20458.65,Call,19.4,22.45,18.15,18.15,4078800,9318040,Put,66.45,69.55,65.55,69.15,704560,2034600
