datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2024-01-02 10:06:00,NIFFIN,NFO,Options,02-JAN-24,20200,21510.0,Call,1175,1175,1175,1175,0,480,Put,.25,.25,.25,.25,40,198000
2024-01-02 10:06:00,NIFFIN,NFO,Options,02-JAN-24,21100,21510.0,Call,271.95,271.95,271.95,271.95,0,23040,Put,1.85,2,1.85,2,400800,5328360
2024-01-02 10:06:00,NIFFIN,NFO,Options,02-JAN-24,21400,21510.0,Call,27.65,28.2,27.65,28.2,2686320,8132600,Put,69.9,69.9,59.25,62,2321920,4128640
2024-01-02 10:06:00,NIFFIN,NFO,Options,09-JAN-24,21400,21510.0,Call,174.9,175.25,174.9,175.25,1320,125000,Put,151.35,154.2,151.35,154.2,3840,139680
2024-01-02 15:05:00,NIFFIN,NFO,Options,02-JAN-24,20200,21514.0,Call,1163.8,1163.8,1163.8,1163.8,0,480,Put,.05,.05,.05,.05,15240,204560
2024-01-02 15:05:00,NIFFIN,NFO,Options,02-JAN-24,21100,21514.0,Call,264.05,264.05,260.9,260.9,6760,16120,Put,.15,.15,.1,.1,675560,6531000
2024-01-02 15:05:00,NIFFIN,NFO,Options,02-JAN-24,21400,21514.0,Call,.9,.9,.65,.65,10757160,25920200,Put,36.45,40.05,36.45,40.05,2277320,5933720
2024-01-02 15:05:00,NIFFIN,NFO,Options,09-JAN-24,20800,21514.0,Call,626.4,626.4,626.4,626.4,0,320,Put,21.4,21.4,21.4,21.4,0,75160
2024-01-02 15:05:00,NIFFIN,NFO,Options,09-JAN-24,21400,21514.0,Call,159.2,159.2,157,157,4840,237040,Put,150.15,151.9,150,151.9,6240,262920
2024-01-02 15:06:00,NIFFIN,NFO,Options,02-JAN-24,20200,21502.4,Call,1155.65,1155.65,1155.65,1155.65,0,600,Put,.05,.05,.05,.05,5280,184960
2024-01-02 15:06:00,NIFFIN,NFO,Options,02-JAN-24,20500,21502.4,Call,855.95,855.95,855.95,855.95,0,1680,Put,.05,.05,.05,.05,108280,1432240
2024-01-02 15:06:00,NIFFIN,NFO,Options,02-JAN-24,20800,21502.4,Call,557.25,557.25,557.25,557.25,0,13080,Put,.05,.05,.05,.05,25000,2613400
2024-01-02 15:06:00,NIFFIN,NFO,Options,02-JAN-24,21100,21502.4,Call,261.15,261.15,256.05,257.15,7800,21920,Put,.1,.15,.1,.15,233720,6427680
2024-01-02 15:06:00,NIFFIN,NFO,Options,02-JAN-24,21400,21502.4,Call,.75,.75,.3,.3,10517240,25549840,Put,38.8,43.6,38.8,42.75,3004240,5915680
2024-01-02 15:06:00,NIFFIN,NFO,Options,09-JAN-24,21400,21502.4,Call,157,157,152.9,152.9,12920,241080,Put,151,154.35,151,152.75,8440,263080
2024-01-02 15:02:00,NIFFIN,NFO,Options,02-JAN-24,20500,21510.0,Call,858.1,858.1,858.1,858.1,0,1560,Put,.1,.1,.05,.05,64560,1910720
2024-01-02 15:02:00,NIFFIN,NFO,Options,02-JAN-24,20800,21510.0,Call,558.55,558.55,558.55,558.55,0,13120,Put,.05,.1,.05,.05,68400,2840120
2024-01-02 15:02:00,NIFFIN,NFO,Options,02-JAN-24,21100,21510.0,Call,259.85,259.85,258.95,258.95,280,16240,Put,.25,.3,.2,.2,430400,6596000
2024-01-02 15:02:00,NIFFIN,NFO,Options,02-JAN-24,21400,21510.0,Call,.95,1.15,.8,.8,10250840,25078880,Put,42.05,44,40.15,44,2469840,6022720
2024-01-02 15:02:00,NIFFIN,NFO,Options,09-JAN-24,21100,21510.0,Call,359.55,359.6,359.55,359.6,40,400,Put,57.8,58.35,57.6,58.2,3400,39360
2024-01-02 15:02:00,NIFFIN,NFO,Options,09-JAN-24,21400,21510.0,Call,156,158.5,156,157.65,19880,232560,Put,153.95,154,152.05,153.65,26560,255240
2024-01-01 15:01:00,NIFFIN,NFO,Options,02-JAN-24,20800,21710.15,Call,780,780,780,780,0,1480,Put,.95,.95,.95,.95,6600,1471000
2024-01-01 15:01:00,NIFFIN,NFO,Options,02-JAN-24,21100,21710.15,Call,473.75,473.75,452.6,452.6,120,15840,Put,1.35,1.35,1.3,1.3,73680,1669520
2024-01-01 15:01:00,NIFFIN,NFO,Options,02-JAN-24,21400,21710.15,Call,206.8,206.8,170.4,170.4,60400,446440,Put,8.85,11.25,8.85,11.25,1182400,3474760
2024-01-01 15:01:00,NIFFIN,NFO,Options,09-JAN-24,21400,21710.15,Call,316.55,316.55,316,316,600,10920,Put,81.55,87.45,81.55,87.45,2800,49480
2024-01-02 09:56:00,NIFFIN,NFO,Options,02-JAN-24,20800,21484.55,Call,548.2,548.2,548.2,548.2,0,1240,Put,.4,.4,.4,.4,0,2779160
2024-01-02 09:56:00,NIFFIN,NFO,Options,02-JAN-24,21100,21484.55,Call,230.05,230.05,230.05,230.05,0,18120,Put,1.4,1.4,1.4,1.4,0,5606160
2024-01-02 09:56:00,NIFFIN,NFO,Options,02-JAN-24,21400,21484.55,Call,25.25,25.25,25.25,25.25,0,4379240,Put,60.7,60.7,60.7,60.7,0,13880840
2024-01-02 09:56:00,NIFFIN,NFO,Options,09-JAN-24,21400,21484.55,Call,171.15,171.15,171.15,171.15,0,70240,Put,169.45,169.45,169.45,169.45,0,115360
2024-01-02 09:57:00,NIFFIN,NFO,Options,02-JAN-24,20800,21480.25,Call,491.7,491.7,491.7,491.7,0,1240,Put,.45,.45,.45,.45,0,2779160
2024-01-02 09:57:00,NIFFIN,NFO,Options,02-JAN-24,21100,21480.25,Call,227.15,227.15,227.15,227.15,0,18120,Put,6.65,6.65,6.65,6.65,0,5606160
2024-01-02 09:57:00,NIFFIN,NFO,Options,02-JAN-24,21400,21480.25,Call,23.65,23.65,23.65,23.65,0,4379240,Put,132.55,132.55,132.55,132.55,0,13880840
2024-01-02 09:57:00,NIFFIN,NFO,Options,09-JAN-24,21400,21480.25,Call,158.75,158.75,158.75,158.75,0,70240,Put,177.5,177.5,177.5,177.5,0,115360
2024-01-02 09:58:00,NIFFIN,NFO,Options,02-JAN-24,20800,21461.55,Call,500.3,500.3,500.3,500.3,0,1240,Put,.5,.5,.5,.5,0,2686920
2024-01-02 09:58:00,NIFFIN,NFO,Options,02-JAN-24,21400,21461.55,Call,18.3,18.3,18.3,18.3,0,4379240,Put,115.25,115.25,115.25,115.25,0,13880840
2024-01-02 09:58:00,NIFFIN,NFO,Options,09-JAN-24,21400,21461.55,Call,153.95,153.95,153.95,153.95,0,70240,Put,176.75,176.75,176.75,176.75,0,115360
