datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2024-03-05 10:45:00,NIFFIN,NFO,Options,05-MAR-24,19500,20937.15,Call,1335,1335,1335,1335,0,840,Put,.2,.25,.2,.2,17440,915560
2024-03-05 10:45:00,NIFFIN,NFO,Options,05-MAR-24,20100,20937.15,Call,734.9,734.9,734.9,734.9,0,10240,Put,.4,.4,.35,.35,3160,2417880
2024-03-05 10:45:00,NIFFIN,NFO,Options,05-MAR-24,20400,20937.15,Call,432.5,432.5,432.5,432.5,0,168160,Put,.75,.8,.75,.75,1013520,5868480
2024-03-05 10:45:00,NIFFIN,NFO,Options,05-MAR-24,20700,20937.15,Call,141.15,141.9,138.2,140.95,40920,635600,Put,6.35,7.1,6.35,6.65,1217880,7683040
2024-03-05 10:45:00,NIFFIN,NFO,Options,05-MAR-24,21000,20937.15,Call,4.3,4.45,4,4.4,1293520,12356880,Put,169.4,173.5,169.4,170.4,47520,529920
2024-03-05 10:45:00,NIFFIN,NFO,Options,12-MAR-24,19500,20937.15,Call,1372,1372,1372,1372,0,160,Put,3.75,3.75,3.75,3.75,0,26640
2024-03-05 10:45:00,NIFFIN,NFO,Options,12-MAR-24,21000,20937.15,Call,117,118.75,117,118.75,440,100360,Put,240.7,240.9,240.6,240.6,1320,54280
2024-03-05 10:46:00,NIFFIN,NFO,Options,05-MAR-24,19500,20941.7,Call,1335,1335,1333.95,1333.95,120,840,Put,.2,.25,.2,.2,6520,915560
2024-03-05 10:46:00,NIFFIN,NFO,Options,05-MAR-24,20400,20941.7,Call,432.8,432.8,432.8,432.8,0,168200,Put,.8,.8,.75,.8,86560,5868480
2024-03-05 10:46:00,NIFFIN,NFO,Options,05-MAR-24,20700,20941.7,Call,141.3,141.45,138.35,141.45,17120,635600,Put,6.45,6.9,6.45,6.5,744560,7683040
2024-03-05 10:46:00,NIFFIN,NFO,Options,05-MAR-24,21000,20941.7,Call,4.4,4.4,4.1,4.3,743280,12356880,Put,169.25,173,169.25,169.4,22240,529920
2024-03-05 10:46:00,NIFFIN,NFO,Options,12-MAR-24,19500,20941.7,Call,1373,1373,1373,1373,120,160,Put,3.7,3.85,3.7,3.85,1360,26640
2024-03-05 10:46:00,NIFFIN,NFO,Options,12-MAR-24,20700,20941.7,Call,286.45,286.45,286.45,286.45,0,28920,Put,108.5,108.5,108.1,108.1,40,33880
2024-03-05 10:46:00,NIFFIN,NFO,Options,12-MAR-24,21000,20941.7,Call,117.4,118,117.4,117.75,80,100360,Put,240.9,240.9,240.9,240.9,0,54640
2024-03-05 10:47:00,NIFFIN,NFO,Options,05-MAR-24,19500,20939.2,Call,1334,1334,1333,1333,120,840,Put,.2,.25,.2,.25,8080,915560
2024-03-05 10:47:00,NIFFIN,NFO,Options,05-MAR-24,20700,20939.2,Call,142,142,137.15,138.2,26960,635600,Put,6.5,7.2,6.5,6.95,1058440,7683040
2024-03-05 10:47:00,NIFFIN,NFO,Options,05-MAR-24,21000,20939.2,Call,4.35,4.35,3.75,3.85,1364840,12356880,Put,169.4,173.7,169.4,173.3,40440,529920
2024-03-05 10:47:00,NIFFIN,NFO,Options,12-MAR-24,19500,20939.2,Call,1373.3,1373.3,1373.3,1373.3,0,160,Put,3.9,3.95,3.9,3.95,40,26640
2024-03-05 10:47:00,NIFFIN,NFO,Options,12-MAR-24,21000,20939.2,Call,117.85,117.85,116.5,116.5,440,100360,Put,240.9,241.2,240.9,241.2,40,54640
2024-03-05 10:56:00,NIFFIN,NFO,Options,05-MAR-24,19500,20950.0,Call,1336,1336,1336,1336,0,840,Put,.2,.2,.2,.2,83000,1131280
2024-03-05 10:56:00,NIFFIN,NFO,Options,05-MAR-24,20100,20950.0,Call,736,745.05,736,745.05,40,10200,Put,.35,.4,.3,.3,285280,2426920
2024-03-05 10:56:00,NIFFIN,NFO,Options,05-MAR-24,20400,20950.0,Call,444.4,453.1,444.4,453.1,200,168240,Put,.75,.75,.65,.65,359480,5779240
2024-03-05 10:56:00,NIFFIN,NFO,Options,05-MAR-24,20700,20950.0,Call,142.55,154.15,139.45,151.4,135000,643440,Put,6.05,6.45,5.15,5.6,2135040,7910360
2024-03-05 10:56:00,NIFFIN,NFO,Options,05-MAR-24,21000,20950.0,Call,4.25,5.2,4.1,4.95,2648560,12352440,Put,166.95,170.95,155.75,159.5,154200,537400
2024-03-05 10:56:00,NIFFIN,NFO,Options,05-MAR-24,21300,20950.0,Call,.55,.6,.55,.6,672640,6022880,Put,457.95,457.95,444.3,444.3,40,2760
2024-03-05 10:56:00,NIFFIN,NFO,Options,12-MAR-24,20700,20950.0,Call,293,293,292.8,292.8,80,31600,Put,103.7,103.85,103.7,103.85,200,34160
2024-03-05 10:56:00,NIFFIN,NFO,Options,12-MAR-24,21000,20950.0,Call,117.6,125.8,117.55,122.6,4720,110800,Put,239.2,240,230.6,236,1160,56800
2024-03-01 09:15:00,NIFFIN,NFO,Options,05-MAR-24,20100,20675.0,Call,478.5,500,478.5,500,80,14400,Put,30,30,20.95,21.95,68400,283760
2024-03-01 09:15:00,NIFFIN,NFO,Options,05-MAR-24,20400,20675.0,Call,191.45,258.85,191.45,258.85,216160,432760,Put,100,100,66.25,67.6,217080,458320
2024-03-01 09:15:00,NIFFIN,NFO,Options,05-MAR-24,20700,20675.0,Call,58.9,81.8,55.6,81.8,196520,636720,Put,228.75,232.4,190.9,190.9,33560,148960
2024-03-01 09:15:00,NIFFIN,NFO,Options,05-MAR-24,21000,20675.0,Call,9.6,14.1,9.05,14.1,254360,1348560,Put,450,450,443.3,443.3,360,18320
