datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2023-12-04 12:09:00,NIFSEL,NFO,Options,04-DEC-23,10300,9913.3,Call,.05,.05,.05,.05,13200,1250700,Put,420,420,420,420,0,0
2023-12-04 15:02:00,NIFSEL,NFO,Options,04-DEC-23,10300,9933.0,Call,.05,.05,.05,.05,0,1023825,Put,412.65,412.65,412.65,412.65,0,675
2023-12-04 15:04:00,NIFSEL,NFO,Options,04-DEC-23,10300,9927.0,Call,.05,.05,.05,.05,0,1023750,Put,415.35,415.35,415.35,415.35,0,675
2023-12-04 15:11:00,NIFSEL,NFO,Options,04-DEC-23,10300,9925.0,Call,.05,.05,.05,.05,0,1018950,Put,419.85,419.85,419.85,419.85,0,900
2023-12-04 15:16:00,NIFSEL,NFO,Options,04-DEC-23,10300,9922.25,Call,.05,.05,.05,.05,0,1018950,Put,415.25,415.25,415.25,415.25,0,900
2023-12-04 09:59:00,NIFSEL,NFO,Options,04-DEC-23,10600,9903.95,Call,.05,.05,.05,.05,0,151575,Put,735.6,735.6,735.6,735.6,0,150
2023-12-05 09:17:00,NIFSEL,NFO,Options,11-DEC-23,10300,9934.95,Call,8.2,8.2,7.85,7.85,11250,232350,Put,390,390,390,390,0,0
2023-12-05 09:18:00,NIFSEL,NFO,Options,11-DEC-23,10300,9939.0,Call,6.9,6.9,6.75,6.75,4800,250500,Put,390.05,390.05,390.05,390.05,0,0
2023-12-05 09:20:00,NIFSEL,NFO,Options,11-DEC-23,10300,9931.5,Call,7.45,7.45,7.2,7.2,10725,250500,Put,390.05,390.05,390.05,390.05,0,0
2023-12-05 09:23:00,NIFSEL,NFO,Options,11-DEC-23,10300,9939.0,Call,7.1,7.3,7.1,7.3,2625,238650,Put,374.55,374.55,374.55,374.55,0,150
2023-12-05 09:24:00,NIFSEL,NFO,Options,11-DEC-23,10300,9958.25,Call,7,7.85,7,7.85,14700,241875,Put,366,366,366,366,0,300
2023-12-05 09:25:00,NIFSEL,NFO,Options,11-DEC-23,10300,9951.0,Call,7.65,7.65,7,7.15,8025,241875,Put,363.6,364.5,363.6,364.5,75,300
2023-12-05 09:26:00,NIFSEL,NFO,Options,11-DEC-23,10300,9957.0,Call,7.3,7.9,7.3,7.9,4650,248025,Put,353.45,353.45,353.45,353.45,0,1350
2023-12-05 09:27:00,NIFSEL,NFO,Options,11-DEC-23,10300,9958.2,Call,7.85,8.25,7.45,7.5,9525,248025,Put,353.55,353.55,353.55,353.55,0,1350
2023-12-05 09:28:00,NIFSEL,NFO,Options,11-DEC-23,10300,9965.15,Call,7.45,7.7,7.35,7.7,3225,248025,Put,354.55,354.55,354.55,354.55,0,1350
2023-12-05 09:32:00,NIFSEL,NFO,Options,11-DEC-23,10300,9951.0,Call,6.95,6.95,6.35,6.45,10500,248400,Put,364.05,364.05,364.05,364.05,0,1575
2023-12-05 09:39:00,NIFSEL,NFO,Options,11-DEC-23,10300,9963.2,Call,5.75,5.95,5.75,5.95,10050,254475,Put,346,346,346,346,0,1650
2023-12-05 10:05:00,NIFSEL,NFO,Options,11-DEC-23,10300,9955.4,Call,6.8,6.85,6.7,6.7,1425,250800,Put,347.55,347.55,347.55,347.55,0,1725
2023-12-05 10:31:00,NIFSEL,NFO,Options,11-DEC-23,10300,9958.3,Call,7.05,7.05,6.8,6.8,1500,255450,Put,347.85,347.85,347.85,347.85,0,1800
2023-12-05 11:13:00,NIFSEL,NFO,Options,11-DEC-23,10300,9932.65,Call,6.45,6.45,6.25,6.25,1350,252225,Put,373.5,373.5,373.5,373.5,0,1725
2023-12-05 11:22:00,NIFSEL,NFO,Options,11-DEC-23,10300,9903.0,Call,6,6.05,6,6,4350,278325,Put,400,400,400,400,0,1800
2023-12-05 11:37:00,NIFSEL,NFO,Options,11-DEC-23,10300,9855.9,Call,4.65,4.7,4.6,4.65,8250,262200,Put,451,451,448.5,448.5,375,1875
2023-12-05 11:44:00,NIFSEL,NFO,Options,11-DEC-23,10300,9837.75,Call,4.8,4.8,4.6,4.8,10650,263475,Put,464,464,464,464,0,1725
2023-12-05 11:53:00,NIFSEL,NFO,Options,11-DEC-23,10300,9808.0,Call,4.8,4.8,4.6,4.6,6975,257325,Put,495,495,495,495,0,1725
2023-12-05 12:03:00,NIFSEL,NFO,Options,11-DEC-23,10300,9847.0,Call,5.6,5.7,5.5,5.7,1425,248925,Put,455,455,455,455,0,1425
2023-12-05 13:36:00,NIFSEL,NFO,Options,11-DEC-23,10300,9909.95,Call,7.15,7.25,7.15,7.25,1425,385425,Put,397.05,397.05,397.05,397.05,0,1425
2023-12-05 13:41:00,NIFSEL,NFO,Options,11-DEC-23,10300,9929.05,Call,8.7,8.8,8,8.2,9825,375450,Put,376.05,376.05,376.05,376.05,0,1500
2023-12-05 13:58:00,NIFSEL,NFO,Options,11-DEC-23,10300,9924.2,Call,7,7.25,6.85,6.85,1650,386100,Put,396,396,396,396,0,1650
2023-12-05 15:09:00,NIFSEL,NFO,Options,11-DEC-23,10300,9940.0,Call,7.1,7.25,7.1,7.25,15825,433050,Put,375.55,375.55,375.55,375.55,0,1650
2023-12-05 15:11:00,NIFSEL,NFO,Options,11-DEC-23,10300,9947.65,Call,7.2,7.2,7.05,7.15,8925,433050,Put,372,372,372,372,150,1650
2023-12-05 15:12:00,NIFSEL,NFO,Options,11-DEC-23,10300,9944.45,Call,7.15,7.15,6.85,6.9,3150,446325,Put,372,372,372,372,0,1875
2023-12-05 15:16:00,NIFSEL,NFO,Options,11-DEC-23,10300,9947.65,Call,7.1,7.1,7.1,7.1,2175,447225,Put,367,367,367,367,0,1875
2023-12-07 09:34:00,NIFSEL,NFO,Options,11-DEC-23,10300,9931.3,Call,1.4,1.4,1.3,1.4,18450,587925,Put,393.5,393.5,393.5,393.5,0,2025
2023-12-07 09:57:00,NIFSEL,NFO,Options,11-DEC-23,10300,9960.25,Call,1.45,1.45,1.35,1.45,12225,571275,Put,367.7,367.7,367.7,367.7,0,2100
2023-12-07 09:58:00,NIFSEL,NFO,Options,11-DEC-23,10300,9965.85,Call,1.5,1.6,1.45,1.45,41175,571275,Put,355.85,355.85,355.85,355.85,0,2100
2023-12-07 10:34:00,NIFSEL,NFO,Options,11-DEC-23,10300,9975.0,Call,1.1,1.25,1.1,1.15,18975,581700,Put,347.75,347.75,347.75,347.75,0,2100
2023-12-07 13:39:00,NIFSEL,NFO,Options,11-DEC-23,10300,10023.3,Call,1.55,1.55,1.5,1.5,3000,666300,Put,309.5,309.5,309.5,309.5,675,2025
2023-12-07 14:22:00,NIFSEL,NFO,Options,11-DEC-23,10300,10022.0,Call,1.1,1.1,1.1,1.1,2625,713550,Put,308,308,308,308,0,4200
