datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2024-02-01 09:17:00,NIFSEL,NFO,Options,05-FEB-24,10300,10689.9,Call,425,425,425,425,0,11625,Put,31.9,32.1,31.9,32.1,8400,312825
2024-02-01 09:17:00,NIFSEL,NFO,Options,05-FEB-24,10600,10689.9,Call,189.55,192.4,189.55,192.4,12900,319125,Put,93.75,95.65,93.75,95,19050,450000
2024-02-01 09:17:00,NIFSEL,NFO,Options,05-FEB-24,10900,10689.9,Call,52,52.65,52,52.3,8250,251175,Put,259.7,261,259.7,261,225,8925
2024-02-01 09:19:00,NIFSEL,NFO,Options,05-FEB-24,10300,10672.2,Call,416.65,416.65,416.65,416.65,0,11625,Put,35.6,36.75,35.6,36.75,4950,319425
2024-02-01 09:19:00,NIFSEL,NFO,Options,05-FEB-24,10600,10672.2,Call,185.95,185.95,179.45,179.45,6600,286275,Put,102.4,104.35,102.4,104.35,35025,429825
2024-02-01 09:19:00,NIFSEL,NFO,Options,05-FEB-24,10900,10672.2,Call,50.3,50.3,47,47,10125,256575,Put,267.8,267.8,267,267,75,8925
2024-02-01 09:49:00,NIFSEL,NFO,Options,05-FEB-24,10300,10680.55,Call,428,428,428,428,0,11400,Put,31.9,32,31.7,31.7,900,360675
2024-02-01 09:49:00,NIFSEL,NFO,Options,05-FEB-24,10600,10680.55,Call,182.6,184.6,181.25,184.6,975,260100,Put,92.9,94.6,92.25,92.25,12075,508500
2024-02-01 09:49:00,NIFSEL,NFO,Options,05-FEB-24,10900,10680.55,Call,52.1,52.1,50.2,52.05,7350,320925,Put,259.95,263.85,259.95,263.85,75,9975
2024-02-01 09:57:00,NIFSEL,NFO,Options,05-FEB-24,10300,10673.05,Call,414.7,414.7,414.7,414.7,0,11325,Put,33.4,33.4,33,33,825,359850
2024-02-01 09:57:00,NIFSEL,NFO,Options,05-FEB-24,10600,10673.05,Call,180,181,179.95,180.6,6075,255900,Put,95.55,97.8,95.55,96.45,22125,514350
2024-02-01 09:57:00,NIFSEL,NFO,Options,05-FEB-24,10900,10673.05,Call,51.05,51.7,50.65,51.6,4275,328275,Put,266,266,266,266,0,9975
2024-02-01 10:03:00,NIFSEL,NFO,Options,05-FEB-24,10300,10643.25,Call,400,400,400,400,0,11325,Put,37.85,40.1,37.8,39,10050,362775
2024-02-01 10:03:00,NIFSEL,NFO,Options,05-FEB-24,10600,10643.25,Call,170.2,172,165.15,169.2,11775,256575,Put,106.45,113.15,106.3,108.85,48975,511800
2024-02-01 10:35:00,NIFSEL,NFO,Options,05-FEB-24,10300,10620.4,Call,374,374,374,374,0,11325,Put,40.45,40.45,40.25,40.25,2850,413475
2024-02-01 10:35:00,NIFSEL,NFO,Options,05-FEB-24,10600,10620.4,Call,153.5,153.7,151.9,153.7,3900,314700,Put,118.35,121.75,118.35,119.85,27975,513450
2024-02-01 10:36:00,NIFSEL,NFO,Options,05-FEB-24,10300,10630.3,Call,377,377,377,377,0,11325,Put,39.1,39.1,39.1,39.1,0,413475
2024-02-01 10:36:00,NIFSEL,NFO,Options,05-FEB-24,10600,10630.3,Call,153.2,156.9,153.2,156.75,10050,314700,Put,119.2,119.2,111.2,111.2,37050,513450
2024-02-01 11:08:00,NIFSEL,NFO,Options,05-FEB-24,10300,10630.0,Call,381,381,381,381,0,11325,Put,36.95,37.4,36.55,36.7,2475,403125
2024-02-01 11:08:00,NIFSEL,NFO,Options,05-FEB-24,10600,10630.0,Call,148.25,153.9,148.25,153.9,7275,331575,Put,107.9,108.45,107.05,107.6,11475,507075
2024-02-01 11:16:00,NIFSEL,NFO,Options,05-FEB-24,10300,10581.4,Call,355.35,355.35,355.35,355.35,0,11325,Put,40.25,49,40.25,49,9975,402150
2024-02-01 11:16:00,NIFSEL,NFO,Options,05-FEB-24,10600,10581.4,Call,148.3,148.3,138,138,38400,336000,Put,117.2,132.4,116.2,132.4,112200,481350
2024-02-01 11:17:00,NIFSEL,NFO,Options,05-FEB-24,10300,10587.95,Call,348,348,348,348,0,11325,Put,52.5,52.5,50.1,50.1,19875,402150
2024-02-01 11:17:00,NIFSEL,NFO,Options,05-FEB-24,10600,10587.95,Call,132.3,135.15,130.05,135.15,201300,336000,Put,145,145,132.05,132.05,142050,481350
2024-02-01 11:17:00,NIFSEL,NFO,Options,05-FEB-24,10900,10587.95,Call,34.6,34.6,32.65,34.25,24300,412650,Put,354.55,354.55,337.7,337.7,225,12750
2024-02-01 11:18:00,NIFSEL,NFO,Options,05-FEB-24,10300,10598.85,Call,357,357,357,357,0,11325,Put,49.8,49.8,44.15,44.15,16500,400650
2024-02-01 11:18:00,NIFSEL,NFO,Options,05-FEB-24,10600,10598.85,Call,135,138.95,135,137.85,71100,366000,Put,132.75,132.75,122,122,101850,422175
2024-02-01 11:18:00,NIFSEL,NFO,Options,05-FEB-24,10900,10598.85,Call,34.35,36.4,34.35,36.4,14100,398700,Put,332.1,332.1,326.55,326.55,225,12750
2024-02-01 11:30:00,NIFSEL,NFO,Options,05-FEB-24,10300,10578.0,Call,343.35,343.35,343.35,343.35,0,11325,Put,47.15,49.3,47.05,49.3,19350,447900
2024-02-01 11:30:00,NIFSEL,NFO,Options,05-FEB-24,10600,10578.0,Call,130.8,130.8,128,129.35,32250,409575,Put,135.35,139.5,135.35,137.4,39450,415800
2024-02-01 11:34:00,NIFSEL,NFO,Options,05-FEB-24,10300,10577.25,Call,335,335,335,335,0,11325,Put,50.75,51.75,50.1,50.2,11850,481800
2024-02-01 11:34:00,NIFSEL,NFO,Options,05-FEB-24,10600,10577.25,Call,129.6,131.4,127.7,131.4,41625,421725,Put,138.8,144.35,138.2,139,64500,412725
2024-02-01 11:36:00,NIFSEL,NFO,Options,05-FEB-24,10300,10590.3,Call,345,345,345,345,0,11325,Put,51.4,52,47.75,47.75,6975,485400
2024-02-01 11:36:00,NIFSEL,NFO,Options,05-FEB-24,10600,10590.3,Call,131.75,135.7,130.55,135.7,23025,436575,Put,140.7,141,132.1,132.1,42375,414375
2024-02-01 11:50:00,NIFSEL,NFO,Options,05-FEB-24,10300,10598.0,Call,352,352,352,352,0,11325,Put,46.35,47.1,44.35,44.7,5250,504000
2024-02-01 11:50:00,NIFSEL,NFO,Options,05-FEB-24,10600,10598.0,Call,136.55,138.4,134.4,136.5,41550,462750,Put,130.4,130.4,125.15,126.85,39150,459300
2024-02-01 11:59:00,NIFSEL,NFO,Options,05-FEB-24,10300,10570.55,Call,339.25,339.25,339.25,339.25,0,11325,Put,50.6,51.3,48.95,48.95,6150,526500
2024-02-01 11:59:00,NIFSEL,NFO,Options,05-FEB-24,10600,10570.55,Call,119.9,123,119.9,121.25,57450,513450,Put,138,139.45,134.3,136.35,40425,490875
2024-02-01 12:07:00,NIFSEL,NFO,Options,05-FEB-24,10300,10588.6,Call,334.3,344.85,334.3,344.85,225,11325,Put,35.75,35.75,33,33,44400,481800
2024-02-01 12:07:00,NIFSEL,NFO,Options,05-FEB-24,10600,10588.6,Call,109.9,115.5,109.9,115.5,107775,601350,Put,113.65,113.65,108.05,108.05,146100,517125
2024-02-01 12:11:00,NIFSEL,NFO,Options,05-FEB-24,10300,10614.4,Call,346.3,346.3,346.3,346.3,0,11400,Put,33.2,33.2,31.75,31.75,8100,525150
2024-02-01 12:11:00,NIFSEL,NFO,Options,05-FEB-24,10600,10614.4,Call,124.3,129.75,124.3,128.25,156000,575325,Put,108.35,108.35,98.85,98.85,145950,505425
2024-02-01 12:12:00,NIFSEL,NFO,Options,05-FEB-24,10300,10630.0,Call,358.2,368,358.2,368,75,11400,Put,28.45,28.45,26.45,26.45,9450,519900
2024-02-01 12:12:00,NIFSEL,NFO,Options,05-FEB-24,10600,10630.0,Call,127.45,137,126.5,132.9,120900,575325,Put,97.25,99.6,90.6,93.35,96150,505425
2024-02-01 12:13:00,NIFSEL,NFO,Options,05-FEB-24,10300,10623.45,Call,359.5,359.5,359.5,359.5,0,11400,Put,27.35,27.85,27.35,27.85,6000,519900
2024-02-01 12:13:00,NIFSEL,NFO,Options,05-FEB-24,10600,10623.45,Call,130.4,132,126,128.4,51300,575325,Put,94.9,98.05,94.35,95.7,93750,505425
2024-02-01 12:23:00,NIFSEL,NFO,Options,05-FEB-24,10300,10567.9,Call,307.35,307.35,307.35,307.35,0,11250,Put,41.15,41.15,37.95,38.15,14250,513450
2024-02-01 12:23:00,NIFSEL,NFO,Options,05-FEB-24,10600,10567.9,Call,94,99.75,94,99.3,94575,647550,Put,127.6,127.6,119,120.2,64725,542325
2024-02-01 12:24:00,NIFSEL,NFO,Options,05-FEB-24,10300,10563.35,Call,312.95,312.95,312.95,312.95,0,11250,Put,39.1,40.25,38.3,39.75,3600,513450
2024-02-01 12:24:00,NIFSEL,NFO,Options,05-FEB-24,10600,10563.35,Call,98.1,99.3,96.9,98.6,32400,647550,Put,123,125.25,120,122.15,33825,542325
2024-02-01 12:24:00,NIFSEL,NFO,Options,05-FEB-24,10900,10563.35,Call,17.4,17.95,17.4,17.95,30150,403500,Put,338.05,338.05,338.05,338.05,0,13200
2024-02-01 12:25:00,NIFSEL,NFO,Options,05-FEB-24,10300,10565.7,Call,312.55,312.55,312.55,312.55,0,11250,Put,40.15,40.85,38.1,39.25,18000,513450
2024-02-01 12:25:00,NIFSEL,NFO,Options,05-FEB-24,10600,10565.7,Call,97.35,100.45,97.35,97.6,37950,647550,Put,125.3,126.7,119,123.8,37200,542325
2024-02-01 12:37:00,NIFSEL,NFO,Options,05-FEB-24,10300,10570.95,Call,309.7,309.7,309.7,309.7,0,11775,Put,34.1,34.1,30.55,31.3,28425,539175
2024-02-01 12:37:00,NIFSEL,NFO,Options,05-FEB-24,10600,10570.95,Call,88,94.05,88,93.05,49050,766125,Put,116.6,118.5,111.25,113.55,53550,537675
2024-02-01 12:37:00,NIFSEL,NFO,Options,05-FEB-24,10900,10570.95,Call,15.15,15.8,14.9,15.25,19800,411375,Put,335,335,335,335,0,13125
2024-02-01 13:06:00,NIFSEL,NFO,Options,05-FEB-24,10300,10624.2,Call,347.2,347.2,347.2,347.2,0,12000,Put,21.45,21.7,21.45,21.7,6675,483450
2024-02-01 13:06:00,NIFSEL,NFO,Options,05-FEB-24,10600,10624.2,Call,122.2,122.3,117.75,121,27525,717600,Put,90.5,93.3,90.5,90.9,18525,587175
2024-02-01 13:06:00,NIFSEL,NFO,Options,05-FEB-24,10900,10624.2,Call,19.85,20.1,18.85,19.35,18000,475275,Put,292,292,292,292,0,11175
2024-02-01 13:14:00,NIFSEL,NFO,Options,05-FEB-24,10300,10618.85,Call,347.05,347.05,347.05,347.05,0,13500,Put,23.55,24,23.35,23.85,2250,508725
2024-02-01 13:14:00,NIFSEL,NFO,Options,05-FEB-24,10600,10618.85,Call,119.4,121.2,118.7,119.4,7800,706275,Put,94.3,96.15,94.15,95.15,16500,588300
2024-02-01 13:14:00,NIFSEL,NFO,Options,05-FEB-24,10900,10618.85,Call,19.3,19.7,19.15,19.65,1725,486225,Put,296,296,296,296,75,12525
2024-02-01 13:19:00,NIFSEL,NFO,Options,05-FEB-24,10300,10600.0,Call,339.15,339.15,339.15,339.15,0,14100,Put,25.65,28.3,25.25,28.3,13050,493875
2024-02-01 13:19:00,NIFSEL,NFO,Options,05-FEB-24,10600,10600.0,Call,114,116.45,107.05,107.05,60975,706200,Put,97.5,103,96.2,103,54450,597375
2024-02-01 13:27:00,NIFSEL,NFO,Options,05-FEB-24,10300,10584.5,Call,330,330,329,329,75,14400,Put,25.8,26.45,25.8,26.45,9075,482775
2024-02-01 13:27:00,NIFSEL,NFO,Options,05-FEB-24,10600,10584.5,Call,106.2,106.2,97.05,97.05,66300,698100,Put,100.55,103.9,99.75,103.9,52125,604950
2024-02-01 13:31:00,NIFSEL,NFO,Options,05-FEB-24,10300,10582.85,Call,312,312,312,312,0,14850,Put,27.3,29.45,27.3,28.5,3825,486000
2024-02-01 13:31:00,NIFSEL,NFO,Options,05-FEB-24,10600,10582.85,Call,98.8,98.8,90.75,95.5,76575,715500,Put,104.65,109.15,104.65,106.2,72900,626175
2024-02-01 13:32:00,NIFSEL,NFO,Options,05-FEB-24,10300,10578.55,Call,318,318,318,318,0,14850,Put,28.35,29.35,27.15,29.2,6750,486000
2024-02-01 13:32:00,NIFSEL,NFO,Options,05-FEB-24,10600,10578.55,Call,94.25,98.1,92.9,92.9,43125,715500,Put,107.45,109.6,103.65,109.6,43050,626175
2024-02-01 13:38:00,NIFSEL,NFO,Options,05-FEB-24,10300,10568.4,Call,304.85,304.85,304.85,304.85,0,15300,Put,28.7,30.75,28.7,30.15,2475,490425
2024-02-01 13:38:00,NIFSEL,NFO,Options,05-FEB-24,10600,10568.4,Call,92.7,94.05,89.25,89.85,21375,764625,Put,109.75,113.35,107.4,113.05,42600,625125
2024-02-01 13:41:00,NIFSEL,NFO,Options,05-FEB-24,10300,10570.3,Call,304,304,304,304,0,15375,Put,32.35,32.35,29,29,5175,499425
2024-02-01 13:41:00,NIFSEL,NFO,Options,05-FEB-24,10600,10570.3,Call,83.6,91.1,83.6,90.3,55725,766500,Put,116.45,116.45,110.05,110.2,57225,621600
2024-02-01 13:49:00,NIFSEL,NFO,Options,05-FEB-24,10300,10585.05,Call,323,323,323,323,0,15450,Put,24.45,25.2,23.8,24.85,10050,501375
2024-02-01 13:49:00,NIFSEL,NFO,Options,05-FEB-24,10600,10585.05,Call,96.85,96.85,94.65,96.05,31650,834075,Put,98.4,101.6,98.4,100,30975,611775
2024-02-01 13:58:00,NIFSEL,NFO,Options,05-FEB-24,10300,10584.2,Call,312,312,312,312,0,15375,Put,25.8,25.8,24.4,25.2,9075,511500
2024-02-01 13:58:00,NIFSEL,NFO,Options,05-FEB-24,10600,10584.2,Call,91.6,92.25,90.95,91.4,37350,853050,Put,104.45,105,101.1,102.8,29025,651000
2024-02-01 14:05:00,NIFSEL,NFO,Options,05-FEB-24,10300,10587.3,Call,321,321,321,321,0,15450,Put,21.65,22,21.65,22,3675,533700
2024-02-01 14:05:00,NIFSEL,NFO,Options,05-FEB-24,10600,10587.3,Call,94.5,95.15,91,91,31725,884175,Put,99.1,102.55,98.4,102.55,15525,669600
2024-02-01 14:14:00,NIFSEL,NFO,Options,05-FEB-24,10300,10596.0,Call,320.9,320.9,320.9,320.9,0,15450,Put,17.8,17.9,17.8,17.9,20550,536400
2024-02-01 14:14:00,NIFSEL,NFO,Options,05-FEB-24,10600,10596.0,Call,95.35,95.7,94.2,94.2,11550,914850,Put,92.25,93.25,91.35,93.15,11850,689625
2024-02-01 14:41:00,NIFSEL,NFO,Options,05-FEB-24,10300,10593.15,Call,320.85,320.85,320.85,320.85,0,15300,Put,13.9,14.65,13.9,14.65,10575,534750
2024-02-01 14:41:00,NIFSEL,NFO,Options,05-FEB-24,10600,10593.15,Call,90.4,91.85,89.05,90.25,22350,961350,Put,84.25,86.45,83.2,86.2,22125,736650
2024-02-01 14:41:00,NIFSEL,NFO,Options,05-FEB-24,10900,10593.15,Call,7.15,7.25,7.05,7.15,10050,786450,Put,302.35,302.35,302.35,302.35,0,13725
2024-02-01 14:41:00,NIFSEL,NFO,Options,12-FEB-24,10600,10593.15,Call,181.95,181.95,181.95,181.95,0,11625,Put,170.05,170.05,170.05,170.05,0,675
2024-02-01 14:46:00,NIFSEL,NFO,Options,05-FEB-24,10300,10624.95,Call,339.95,339.95,339.95,339.95,0,15300,Put,12.3,12.3,10.45,10.55,45600,558150
2024-02-01 14:46:00,NIFSEL,NFO,Options,05-FEB-24,10600,10624.95,Call,94.75,104.8,94.75,102.05,168600,960825,Put,77.5,77.55,68.85,70.55,88800,749775
2024-02-01 14:47:00,NIFSEL,NFO,Options,05-FEB-24,10300,10632.65,Call,349.95,349.95,349.95,349.95,0,15300,Put,10.6,10.75,9.9,10.25,58500,558150
2024-02-01 14:47:00,NIFSEL,NFO,Options,05-FEB-24,10600,10632.65,Call,102.45,111.35,102.45,110.55,142725,960825,Put,69.5,70.5,66.95,69,94275,749775
2024-02-01 14:50:00,NIFSEL,NFO,Options,05-FEB-24,10300,10650.55,Call,359.95,359.95,359.95,359.95,0,15300,Put,10.65,10.65,8.7,8.7,105450,563475
2024-02-01 14:50:00,NIFSEL,NFO,Options,05-FEB-24,10600,10650.55,Call,110.55,121.55,110.55,120.55,230850,927300,Put,69.8,69.8,62.1,62.15,148800,758700
2024-02-01 14:53:00,NIFSEL,NFO,Options,05-FEB-24,10300,10653.45,Call,369.95,369.95,369.95,369.95,0,15300,Put,9.05,9.05,8.15,8.15,27900,564600
2024-02-01 14:53:00,NIFSEL,NFO,Options,05-FEB-24,10600,10653.45,Call,116.65,122.45,116.4,122.1,50850,898350,Put,63.65,63.65,58,58,102450,736275
2024-02-01 15:16:00,NIFSEL,NFO,Options,05-FEB-24,10300,10623.65,Call,340.65,340.65,340.65,340.65,0,15300,Put,8.15,8.45,8,8,49275,546900
2024-02-01 15:16:00,NIFSEL,NFO,Options,05-FEB-24,10600,10623.65,Call,101,104.2,100.2,104.2,26325,797025,Put,68.45,70,68,68.15,38700,997425
2024-02-02 09:22:00,NIFSEL,NFO,Options,05-FEB-24,10300,10718.3,Call,435,435,435,435,0,15450,Put,2.35,2.35,2.35,2.35,0,670950
2024-02-02 09:22:00,NIFSEL,NFO,Options,05-FEB-24,10600,10718.3,Call,152.15,157,152.15,155,22200,587700,Put,24.2,25,24.2,25,159900,1206975
2024-02-02 09:22:00,NIFSEL,NFO,Options,05-FEB-24,10900,10718.3,Call,15.15,15.15,14.85,15.05,75075,845700,Put,186.8,186.8,183.1,185.85,2775,23400
2024-02-02 09:30:00,NIFSEL,NFO,Options,05-FEB-24,10300,10735.6,Call,440,440,440,440,0,15450,Put,2.4,2.4,2.4,2.4,25950,843600
2024-02-02 09:30:00,NIFSEL,NFO,Options,05-FEB-24,10600,10735.6,Call,160.8,164.45,158.85,164.45,49050,593925,Put,19.5,20.05,19.35,19.35,126975,1490625
2024-02-02 09:30:00,NIFSEL,NFO,Options,12-FEB-24,10600,10735.6,Call,240,240,240,240,0,14850,Put,103.05,103.05,103.05,103.05,0,1950
2024-02-02 09:31:00,NIFSEL,NFO,Options,05-FEB-24,10300,10739.0,Call,450,450,450,450,0,15450,Put,2.3,2.3,2.3,2.3,18225,843600
2024-02-02 09:31:00,NIFSEL,NFO,Options,05-FEB-24,10600,10739.0,Call,166.6,168.25,164.3,165.75,17400,593925,Put,18.5,18.85,18.35,18.65,124875,1490625
2024-02-02 09:31:00,NIFSEL,NFO,Options,05-FEB-24,10900,10739.0,Call,16.95,18.1,16.95,17.8,99075,762975,Put,171.45,171.45,169.75,169.75,1500,32175
2024-02-02 09:31:00,NIFSEL,NFO,Options,12-FEB-24,10600,10739.0,Call,246,246,246,246,0,14850,Put,101,101,101,101,0,1950
2024-02-02 09:32:00,NIFSEL,NFO,Options,05-FEB-24,10300,10743.0,Call,449,450,449,450,75,15225,Put,2.3,2.3,2.3,2.3,22200,866850
2024-02-02 09:32:00,NIFSEL,NFO,Options,05-FEB-24,10600,10743.0,Call,165,168.95,165,168.95,17325,605850,Put,18.6,18.7,18.6,18.6,96975,1455600
2024-02-02 09:32:00,NIFSEL,NFO,Options,05-FEB-24,10900,10743.0,Call,17.45,18.15,17.45,18.15,65100,783375,Put,169.9,170.65,169.9,170.65,300,34425
2024-02-02 09:36:00,NIFSEL,NFO,Options,05-FEB-24,10300,10750.0,Call,464.55,464.55,464.55,464.55,0,15150,Put,2.15,2.15,2.1,2.1,24750,926250
2024-02-02 09:36:00,NIFSEL,NFO,Options,05-FEB-24,10600,10750.0,Call,178.15,182.2,175.15,175.15,18975,579525,Put,16.95,17.2,16.85,17.1,98850,1481775
2024-02-02 09:36:00,NIFSEL,NFO,Options,05-FEB-24,10900,10750.0,Call,21.55,23.95,21.55,23.3,126600,761325,Put,159.45,160.95,159.45,160.95,300,33900
2024-02-02 10:06:00,NIFSEL,NFO,Options,05-FEB-24,10300,10764.8,Call,475,475,475,475,0,15150,Put,1.65,1.65,1.65,1.65,23850,1016025
2024-02-02 10:06:00,NIFSEL,NFO,Options,05-FEB-24,10600,10764.8,Call,192.75,192.75,186.4,186.4,1875,529125,Put,13.15,13.8,12.9,13.8,63075,1407450
2024-02-02 10:06:00,NIFSEL,NFO,Options,05-FEB-24,10900,10764.8,Call,22.15,22.55,20.5,21.35,92550,902100,Put,143,148.1,143,147.45,975,37650
2024-02-02 10:22:00,NIFSEL,NFO,Options,05-FEB-24,10300,10765.0,Call,472.7,472.7,472.7,472.7,0,15150,Put,1.35,1.35,1.3,1.3,2100,1083525
2024-02-02 10:22:00,NIFSEL,NFO,Options,05-FEB-24,10600,10765.0,Call,182,185,182,185,2100,532650,Put,11.3,11.55,10.95,11,81000,1475100
2024-02-02 10:22:00,NIFSEL,NFO,Options,05-FEB-24,10900,10765.0,Call,19.1,19.15,18,18.5,113025,919575,Put,143.85,146.95,143.8,143.8,525,45600
2024-02-02 11:15:00,NIFSEL,NFO,Options,05-FEB-24,10300,10787.8,Call,486.65,486.65,486.65,486.65,0,15300,Put,1,1.05,1,1.05,2625,1000950
2024-02-02 11:15:00,NIFSEL,NFO,Options,05-FEB-24,10600,10787.8,Call,194,194,192,193.25,6975,546450,Put,8.35,8.85,8.35,8.6,39825,1513875
2024-02-02 11:15:00,NIFSEL,NFO,Options,05-FEB-24,10900,10787.8,Call,15.9,16.2,15.7,16,81450,1013175,Put,130.65,132.9,130.65,132.9,600,54525
