datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2024-01-01 09:15:00,NIFSEL,NFO,Options,01-JAN-24,10300,10429.5,Call,110,110,90.65,99.4,84150,651450,Put,2,4.15,2,2.7,2295750,3260325
2024-01-01 09:15:00,NIFSEL,NFO,Options,01-JAN-24,10600,10429.5,Call,.4,.4,.3,.35,1764975,2117475,Put,210,210,203,203,225,6675
2024-01-01 09:15:00,NIFSEL,NFO,Options,08-JAN-24,10300,10429.5,Call,193,193,193,193,0,15075,Put,74.2,79.8,74.2,79.8,150,26700
2024-01-01 09:16:00,NIFSEL,NFO,Options,01-JAN-24,10300,10432.9,Call,100.6,100.6,97.5,98,49500,651450,Put,2.35,2.95,2.35,2.8,1336200,3260325
2024-01-01 09:16:00,NIFSEL,NFO,Options,01-JAN-24,10600,10432.9,Call,.35,.35,.25,.25,2184825,2117475,Put,204.25,204.9,202.1,204.9,750,6675
2024-01-01 09:17:00,NIFSEL,NFO,Options,01-JAN-24,10300,10434.05,Call,99.3,101.6,97.9,98.7,23025,673575,Put,2.65,2.75,2.45,2.6,1441200,4071450
2024-01-01 09:17:00,NIFSEL,NFO,Options,01-JAN-24,10600,10434.05,Call,.3,.3,.25,.3,1329675,3662550,Put,202.05,204.4,201.75,204,1350,7950
2024-01-01 09:17:00,NIFSEL,NFO,Options,08-JAN-24,10300,10434.05,Call,192.85,192.85,182.1,182.35,2400,15750,Put,68,68,68,68,0,26775
2024-01-01 09:18:00,NIFSEL,NFO,Options,01-JAN-24,10300,10437.8,Call,98.15,103.75,98.15,100.95,22950,673575,Put,2.45,2.75,2.45,2.75,1610175,4071450
2024-01-01 09:18:00,NIFSEL,NFO,Options,01-JAN-24,10600,10437.8,Call,.3,.35,.3,.35,1330050,3662550,Put,204,204,199.7,201.45,375,7950
2024-01-01 09:18:00,NIFSEL,NFO,Options,08-JAN-24,10300,10437.8,Call,190.75,191.55,185.7,191.55,1500,15750,Put,64.75,64.75,61.95,64.7,2475,26775
2024-01-01 09:19:00,NIFSEL,NFO,Options,01-JAN-24,10300,10437.7,Call,102.3,102.65,100,100.15,23550,673575,Put,2.7,2.8,2.6,2.7,1113300,4071450
2024-01-01 09:19:00,NIFSEL,NFO,Options,01-JAN-24,10600,10437.7,Call,.35,.35,.3,.3,457725,3662550,Put,202.55,202.55,201.6,201.6,75,7950
2024-01-01 09:19:00,NIFSEL,NFO,Options,08-JAN-24,10300,10437.7,Call,192.95,192.95,192.95,192.95,0,15750,Put,63.6,63.6,63.6,63.6,825,26775
2024-01-01 09:20:00,NIFSEL,NFO,Options,01-JAN-24,10300,10435.0,Call,101.5,102.75,98.55,99.9,20175,683850,Put,2.6,2.75,2.55,2.6,973650,4528425
2024-01-01 09:20:00,NIFSEL,NFO,Options,01-JAN-24,10600,10435.0,Call,.35,.35,.3,.3,322950,4350150,Put,202.8,203,202.8,203,150,9375
2024-01-01 09:20:00,NIFSEL,NFO,Options,08-JAN-24,10300,10435.0,Call,192,192,192,192,0,15750,Put,63.2,63.2,60.85,60.85,450,31275
2024-01-01 09:22:00,NIFSEL,NFO,Options,01-JAN-24,10300,10436.35,Call,102,104.4,102,102.85,19650,683850,Put,2.4,2.45,2.35,2.35,742575,4528425
2024-01-01 09:22:00,NIFSEL,NFO,Options,08-JAN-24,10300,10436.35,Call,192.9,192.9,192.05,192.05,75,17325,Put,60.8,60.8,60.35,60.35,450,31275
2024-01-01 09:23:00,NIFSEL,NFO,Options,01-JAN-24,10300,10438.15,Call,102.7,103.85,102.2,102.55,31050,679875,Put,2.35,2.35,2.2,2.25,644400,4904550
2024-01-01 09:24:00,NIFSEL,NFO,Options,01-JAN-24,10300,10437.8,Call,104.05,104.65,103.25,104.5,24300,679875,Put,2.1,2.2,2,2,790275,4904550
2024-01-01 09:24:00,NIFSEL,NFO,Options,01-JAN-24,10600,10437.8,Call,.3,.3,.25,.3,163575,4772850,Put,199,199,199,199,0,9600
2024-01-01 09:24:00,NIFSEL,NFO,Options,08-JAN-24,10300,10437.8,Call,193.55,197.9,192.7,196.45,4275,16725,Put,58.45,59,58.45,58.9,6900,34425
2024-01-01 09:25:00,NIFSEL,NFO,Options,01-JAN-24,10300,10440.1,Call,103.5,109.4,103.5,107,53175,679875,Put,2.05,2.05,1.8,1.85,1107675,4904550
2024-01-01 09:25:00,NIFSEL,NFO,Options,01-JAN-24,10600,10440.1,Call,.3,.3,.25,.3,255900,4772850,Put,197.65,197.8,196.5,197.8,225,9600
2024-01-01 09:25:00,NIFSEL,NFO,Options,08-JAN-24,10300,10440.1,Call,197,197.95,197,197.95,75,16725,Put,58.4,58.5,57.55,58.1,3225,34425
2024-01-01 09:26:00,NIFSEL,NFO,Options,01-JAN-24,10300,10440.0,Call,106.7,107.45,102.85,102.85,23625,668625,Put,1.9,1.95,1.8,1.95,1011225,5280150
2024-01-01 09:26:00,NIFSEL,NFO,Options,01-JAN-24,10600,10440.0,Call,.3,.3,.25,.3,126750,4853400,Put,196.25,198.3,196.25,198.3,150,9825
2024-01-01 09:26:00,NIFSEL,NFO,Options,08-JAN-24,10300,10440.0,Call,197,198,197,198,75,16725,Put,59,59,57.55,58.85,525,42300
2024-01-01 09:27:00,NIFSEL,NFO,Options,01-JAN-24,10300,10439.95,Call,102.55,104.05,101.55,102.5,33375,668625,Put,1.95,2,1.85,1.95,664500,5280150
2024-01-01 09:27:00,NIFSEL,NFO,Options,01-JAN-24,10600,10439.95,Call,.3,.3,.25,.3,124050,4853400,Put,199.9,199.9,199.65,199.65,150,9825
2024-01-01 09:27:00,NIFSEL,NFO,Options,08-JAN-24,10300,10439.95,Call,195.65,195.65,194.3,195.5,150,19725,Put,58.95,59.25,58.95,59.25,1125,42300
2024-01-01 09:28:00,NIFSEL,NFO,Options,01-JAN-24,10300,10439.0,Call,103.55,104.95,102.7,103.6,14025,668625,Put,1.9,1.95,1.85,1.85,706350,5280150
2024-01-01 09:28:00,NIFSEL,NFO,Options,01-JAN-24,10600,10439.0,Call,.25,.3,.25,.3,226650,4853400,Put,198.9,198.9,198.9,198.9,0,9825
2024-01-01 09:28:00,NIFSEL,NFO,Options,08-JAN-24,10300,10439.0,Call,196.9,196.9,196.9,196.9,0,19725,Put,59,59,58.95,59,300,42300
2024-01-01 09:29:00,NIFSEL,NFO,Options,01-JAN-24,10300,10437.65,Call,103.55,104.9,102.95,103.75,12975,649200,Put,1.85,1.85,1.65,1.65,677325,5519775
2024-01-01 09:29:00,NIFSEL,NFO,Options,01-JAN-24,10600,10437.65,Call,.3,.3,.25,.3,126300,4816650,Put,198.9,198.9,198.9,198.9,0,10200
2024-01-01 09:29:00,NIFSEL,NFO,Options,08-JAN-24,10300,10437.65,Call,195.4,195.4,194.65,194.65,75,19575,Put,59.05,59.25,58.6,59.25,1125,45075
2024-01-01 09:30:00,NIFSEL,NFO,Options,01-JAN-24,10300,10440.0,Call,103.65,109.5,99.65,108,52650,649200,Put,1.7,1.85,1.6,1.65,1368300,5519775
2024-01-01 09:30:00,NIFSEL,NFO,Options,08-JAN-24,10300,10440.0,Call,195.3,197.7,193.25,197.7,225,19575,Put,59.15,60,59,59,1425,45075
2024-01-01 09:31:00,NIFSEL,NFO,Options,01-JAN-24,10300,10436.35,Call,107.45,107.45,102.15,102.3,24825,649200,Put,1.65,1.65,1.6,1.65,605550,5519775
2024-01-01 09:31:00,NIFSEL,NFO,Options,01-JAN-24,10600,10436.35,Call,.3,.3,.25,.25,343950,4816650,Put,199.1,199.35,199.1,199.35,75,10200
2024-01-01 09:31:00,NIFSEL,NFO,Options,08-JAN-24,10300,10436.35,Call,197.9,197.9,193,193,150,19575,Put,58.45,58.45,58.45,58.45,75,45075
2024-01-01 09:32:00,NIFSEL,NFO,Options,01-JAN-24,10300,10436.35,Call,100.65,103.2,100.65,102.75,23250,656700,Put,1.7,1.7,1.6,1.6,707775,5741025
2024-01-01 09:32:00,NIFSEL,NFO,Options,01-JAN-24,10600,10436.35,Call,.25,.3,.25,.25,183375,5019000,Put,199.1,199.1,198.5,198.5,1275,10350
2024-01-01 09:32:00,NIFSEL,NFO,Options,08-JAN-24,10300,10436.35,Call,192,192,192,192,0,19650,Put,58.5,58.8,58.5,58.8,375,45975
2024-01-01 09:33:00,NIFSEL,NFO,Options,01-JAN-24,10300,10444.4,Call,105,109,105,108.2,29250,656700,Put,1.6,1.6,1.45,1.45,497925,5741025
2024-01-01 09:34:00,NIFSEL,NFO,Options,01-JAN-24,10300,10442.0,Call,108.75,108.75,106.35,107.95,23625,656700,Put,1.5,1.5,1.25,1.25,1012800,5741025
2024-01-01 09:34:00,NIFSEL,NFO,Options,01-JAN-24,10600,10442.0,Call,.3,.3,.25,.3,193950,5019000,Put,193.85,193.9,193.85,193.9,600,10350
2024-01-01 09:35:00,NIFSEL,NFO,Options,01-JAN-24,10300,10447.05,Call,107,110,107,107.75,24675,652200,Put,1.25,1.25,1.2,1.25,882375,5804325
2024-01-01 09:35:00,NIFSEL,NFO,Options,01-JAN-24,10600,10447.05,Call,.3,.3,.25,.25,75225,5205225,Put,195,195,194,194,225,11400
2024-01-01 09:36:00,NIFSEL,NFO,Options,01-JAN-24,10300,10448.2,Call,107.55,110,106.45,108.65,16725,652200,Put,1.25,1.25,1.1,1.1,569475,5804325
2024-01-01 09:36:00,NIFSEL,NFO,Options,01-JAN-24,10600,10448.2,Call,.25,.3,.25,.3,199425,5205225,Put,194,194,194,194,0,11400
2024-01-01 09:36:00,NIFSEL,NFO,Options,08-JAN-24,10300,10448.2,Call,198,198,198,198,0,19725,Put,56,56,55.8,56,1800,50475
2024-01-01 09:37:00,NIFSEL,NFO,Options,01-JAN-24,10300,10447.85,Call,109.05,110,108,108.55,21225,652200,Put,1.15,1.3,1.15,1.3,1058175,5804325
2024-01-01 09:37:00,NIFSEL,NFO,Options,01-JAN-24,10600,10447.85,Call,.3,.3,.25,.25,58500,5205225,Put,193.25,193.25,193.25,193.25,0,11400
2024-01-01 09:37:00,NIFSEL,NFO,Options,08-JAN-24,10300,10447.85,Call,199,199,199,199,0,19725,Put,55.4,55.65,55,55.65,5250,58950
2024-01-01 09:38:00,NIFSEL,NFO,Options,01-JAN-24,10300,10447.5,Call,109,109.6,108.75,108.95,18525,640500,Put,1.25,1.25,1.15,1.15,371550,5984925
