datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2024-03-01 09:15:00,NIFSEL,NFO,Options,04-MAR-24,10600,10897.95,Call,298.4,316.25,298.4,313.9,1050,15675,Put,18.6,28.2,18.6,19.75,174900,846825
2024-03-01 09:15:00,NIFSEL,NFO,Options,04-MAR-24,10900,10897.95,Call,95,95,75.85,93.95,368925,1235475,Put,114.85,114.85,94.55,95.1,208725,643200
2024-03-01 09:15:00,NIFSEL,NFO,Options,04-MAR-24,11200,10897.95,Call,5,10.3,5,10,160725,947325,Put,374.6,374.6,374.6,374.6,0,13275
2024-03-01 09:16:00,NIFSEL,NFO,Options,04-MAR-24,10600,10907.5,Call,317.85,317.85,317.85,317.85,0,15675,Put,18.85,18.85,16.7,18.2,164700,846825
2024-03-01 09:16:00,NIFSEL,NFO,Options,04-MAR-24,10900,10907.5,Call,91.9,93.95,87.35,91.7,310875,1235475,Put,92.25,92.55,85.2,91.65,263550,643200
2024-03-01 09:16:00,NIFSEL,NFO,Options,04-MAR-24,11200,10907.5,Call,9.7,10.05,8.9,9.15,156600,947325,Put,311.6,311.6,303.35,303.35,300,13200
2024-03-01 09:17:00,NIFSEL,NFO,Options,04-MAR-24,10600,10906.1,Call,321,321.7,318.55,320.35,1425,15675,Put,18.15,18.15,17.35,17.8,132525,846825
2024-03-01 09:17:00,NIFSEL,NFO,Options,04-MAR-24,10900,10906.1,Call,91.2,94.55,90.1,91.6,362400,1235475,Put,90,90,87.55,88.4,183600,643200
2024-03-01 09:17:00,NIFSEL,NFO,Options,04-MAR-24,11200,10906.1,Call,9.3,9.95,9.3,9.35,174600,947325,Put,305.15,305.15,305.15,305.15,0,13200
2024-03-01 09:18:00,NIFSEL,NFO,Options,04-MAR-24,10600,10901.25,Call,320.4,320.4,314.7,314.7,75,15600,Put,17.4,18.3,17.2,18.25,128325,891075
2024-03-01 09:18:00,NIFSEL,NFO,Options,04-MAR-24,10900,10901.25,Call,90.6,91.85,88.4,90.55,191475,1350300,Put,89.15,92.15,87.75,90,120450,859125
2024-03-01 09:20:00,NIFSEL,NFO,Options,04-MAR-24,10600,10898.6,Call,317.35,317.35,310.05,310.05,3750,15600,Put,18.7,19.65,18.45,19.15,135375,891075
2024-03-01 09:20:00,NIFSEL,NFO,Options,04-MAR-24,10900,10898.6,Call,88.5,89.75,85.45,88.8,152175,1350300,Put,90.55,92.35,89.8,90.8,139425,859125
2024-03-01 09:20:00,NIFSEL,NFO,Options,11-MAR-24,10900,10898.6,Call,170.25,171.95,170.05,171.95,300,25800,Put,155,160,155,160,225,525
2024-03-01 09:22:00,NIFSEL,NFO,Options,04-MAR-24,10600,10898.6,Call,315,315,315,315,0,14850,Put,20,21.3,20,20.3,104475,940950
2024-03-01 09:22:00,NIFSEL,NFO,Options,04-MAR-24,10900,10898.6,Call,89.25,89.25,86.3,88.45,139875,1422450,Put,91.8,96.85,91.8,93.95,155700,937725
2024-03-01 09:22:00,NIFSEL,NFO,Options,11-MAR-24,10900,10898.6,Call,168.15,168.2,168.15,168.2,225,27450,Put,160.5,162.25,157.8,157.8,750,1200
2024-03-01 09:23:00,NIFSEL,NFO,Options,04-MAR-24,10600,10898.6,Call,315,315,313.5,314.65,375,14850,Put,20.35,20.75,19.85,19.85,49425,940950
2024-03-01 09:23:00,NIFSEL,NFO,Options,04-MAR-24,10900,10898.6,Call,88.35,89.3,87.7,89.3,89550,1422450,Put,93.95,94.5,92.55,92.55,53475,937725
2024-03-01 09:24:00,NIFSEL,NFO,Options,04-MAR-24,10600,10900.95,Call,320,320,320,320,0,14850,Put,19.5,19.75,19,19.05,80175,998175
2024-03-01 09:24:00,NIFSEL,NFO,Options,04-MAR-24,10900,10900.95,Call,89.05,90.7,88.25,88.4,191100,1487325,Put,90.9,92.5,89.1,90.4,125175,970800
2024-03-01 09:24:00,NIFSEL,NFO,Options,04-MAR-24,11200,10900.95,Call,8.55,8.6,8.2,8.25,56325,1111725,Put,308.75,308.75,308.75,308.75,0,13275
2024-03-01 09:24:00,NIFSEL,NFO,Options,11-MAR-24,10900,10900.95,Call,169.05,169.05,169.05,169.05,0,27600,Put,152.05,152.05,152.05,152.05,0,1200
2024-03-01 09:25:00,NIFSEL,NFO,Options,04-MAR-24,10600,10899.05,Call,312.05,312.05,308.8,310.35,300,14700,Put,19.05,19.95,19.05,19.4,37425,998175
2024-03-01 09:25:00,NIFSEL,NFO,Options,04-MAR-24,10900,10899.05,Call,86.5,87.05,83.95,86.4,167850,1487325,Put,90.1,94.2,90.1,92.5,161700,970800
2024-03-01 09:25:00,NIFSEL,NFO,Options,11-MAR-24,10900,10899.05,Call,169,169,165.35,165.35,900,27600,Put,159.1,159.1,159.1,159.1,0,5025
2024-03-01 09:27:00,NIFSEL,NFO,Options,04-MAR-24,10600,10895.8,Call,309.7,309.7,309.7,309.7,0,14700,Put,20.1,20.35,18.95,19.1,43875,1022025
2024-03-01 09:27:00,NIFSEL,NFO,Options,04-MAR-24,10900,10895.8,Call,83.8,85.8,83.05,85.4,119175,1650300,Put,95.4,96.15,91.5,91.6,113775,1128000
2024-03-01 09:27:00,NIFSEL,NFO,Options,04-MAR-24,11200,10895.8,Call,7.55,7.75,7.55,7.7,32925,1136850,Put,313.1,313.1,312,312,1050,13350
2024-03-01 09:27:00,NIFSEL,NFO,Options,11-MAR-24,10900,10895.8,Call,167,167,167,167,75,27600,Put,160,160,160,160,0,5025
2024-03-01 09:28:00,NIFSEL,NFO,Options,04-MAR-24,10600,10890.0,Call,306,306,306,306,0,14925,Put,19,20.2,19,20.15,41025,1022025
2024-03-01 09:28:00,NIFSEL,NFO,Options,04-MAR-24,10900,10890.0,Call,85.65,85.65,82.5,83.25,125625,1650300,Put,91.5,96.15,91.5,95.65,102750,1128000
2024-03-01 09:28:00,NIFSEL,NFO,Options,04-MAR-24,11200,10890.0,Call,7.6,7.65,7.35,7.4,50175,1136850,Put,314,316.8,314,316.8,300,13350
2024-03-01 09:29:00,NIFSEL,NFO,Options,04-MAR-24,10600,10880.0,Call,297,297,297,297,0,14925,Put,20.1,22.55,19.95,21.7,65400,1022025
2024-03-01 09:29:00,NIFSEL,NFO,Options,04-MAR-24,10900,10880.0,Call,83.2,84.2,75.75,76.8,280425,1650300,Put,95.75,103.55,94.8,101.25,203850,1128000
2024-03-01 09:29:00,NIFSEL,NFO,Options,11-MAR-24,10900,10880.0,Call,168.8,168.8,165,165,150,26775,Put,165.05,165.05,165.05,165.05,0,5025
2024-03-01 09:30:00,NIFSEL,NFO,Options,04-MAR-24,10600,10880.45,Call,296.05,299.9,296.05,298,375,14925,Put,21.75,22.3,21.15,21.25,38250,1032975
2024-03-01 09:30:00,NIFSEL,NFO,Options,04-MAR-24,10900,10880.45,Call,76.95,79.2,76.95,77.55,232350,1746150,Put,102.3,103,99.3,99.8,157950,1175700
2024-03-01 09:30:00,NIFSEL,NFO,Options,04-MAR-24,11200,10880.45,Call,6.5,6.7,6.45,6.45,52650,1161075,Put,328.55,328.55,328.55,328.55,0,13350
2024-03-01 09:30:00,NIFSEL,NFO,Options,11-MAR-24,10900,10880.45,Call,162.5,162.5,160.3,160.3,225,27150,Put,169.45,169.45,165.45,169.45,300,5325
2024-03-01 09:31:00,NIFSEL,NFO,Options,04-MAR-24,10600,10877.85,Call,302,302,295,295,75,14925,Put,21.05,23.05,20.6,22.7,66600,1032975
2024-03-01 09:31:00,NIFSEL,NFO,Options,04-MAR-24,10900,10877.85,Call,78.55,79.1,73.55,75.85,231825,1746150,Put,98.5,105.6,96.95,103.65,155550,1175700
2024-03-01 09:31:00,NIFSEL,NFO,Options,04-MAR-24,11200,10877.85,Call,6.4,6.55,6.1,6.35,84225,1161075,Put,323.3,323.3,323.3,323.3,0,14175
2024-03-01 09:31:00,NIFSEL,NFO,Options,11-MAR-24,10900,10877.85,Call,160,160,157.85,158,6225,27150,Put,165.95,165.95,165.95,165.95,0,5325
2024-03-01 09:33:00,NIFSEL,NFO,Options,04-MAR-24,10600,10880.15,Call,290,291.65,290,291.65,150,15000,Put,21.9,24.1,21.9,22.25,54225,1053975
2024-03-01 09:33:00,NIFSEL,NFO,Options,04-MAR-24,10900,10880.15,Call,77.85,77.85,74.8,77.2,162750,1766775,Put,101.15,108.8,101.15,103.75,114000,1192875
2024-03-01 09:33:00,NIFSEL,NFO,Options,04-MAR-24,11200,10880.15,Call,6.55,6.6,6.4,6.6,93525,1205925,Put,338.55,338.55,338.55,338.55,0,14175
2024-03-01 09:33:00,NIFSEL,NFO,Options,11-MAR-24,10900,10880.15,Call,157.2,159.6,156.5,159.6,525,17925,Put,174.25,174.25,174.25,174.25,0,5325
2024-03-01 09:35:00,NIFSEL,NFO,Options,04-MAR-24,10600,10876.7,Call,295.85,295.85,295.85,295.85,300,15000,Put,22.4,23.05,22.35,23.05,43725,1053975
2024-03-01 09:35:00,NIFSEL,NFO,Options,04-MAR-24,10900,10876.7,Call,78,78.6,77.1,77.45,55125,1766775,Put,103,104.8,103,104.65,57075,1192875
2024-03-01 09:35:00,NIFSEL,NFO,Options,11-MAR-24,10900,10876.7,Call,157.9,158,157.9,158,1425,17925,Put,171.8,171.8,171,171,75,5850
2024-03-01 09:36:00,NIFSEL,NFO,Options,04-MAR-24,10600,10879.0,Call,296.45,297,296.45,297,75,14925,Put,23,24.35,22.55,22.65,76125,1071525
2024-03-01 09:36:00,NIFSEL,NFO,Options,04-MAR-24,10900,10879.0,Call,77.5,78.5,75,78.5,133950,1815075,Put,104.65,108.3,101.6,102.75,138075,1182150
2024-03-01 09:36:00,NIFSEL,NFO,Options,04-MAR-24,11200,10879.0,Call,6.7,6.7,6.35,6.6,51525,1237500,Put,334.95,334.95,334.95,334.95,0,14250
2024-03-01 09:36:00,NIFSEL,NFO,Options,11-MAR-24,10900,10879.0,Call,158,158,158,158,2475,15300,Put,166.8,166.8,166.8,166.8,0,6000
2024-03-01 09:38:00,NIFSEL,NFO,Options,04-MAR-24,10600,10888.05,Call,304,304.8,297.85,297.85,1050,14925,Put,21.3,22,20.4,21.8,36900,1071525
2024-03-01 09:38:00,NIFSEL,NFO,Options,04-MAR-24,10900,10888.05,Call,80.1,81.6,78.45,78.45,175125,1815075,Put,99,101.65,96.15,100.8,97275,1182150
2024-03-01 09:38:00,NIFSEL,NFO,Options,04-MAR-24,11200,10888.05,Call,6.75,7,6.6,6.6,41325,1237500,Put,321,321,321,321,0,14250
2024-03-01 09:38:00,NIFSEL,NFO,Options,11-MAR-24,10900,10888.05,Call,159.35,161.85,159.35,160.1,300,15300,Put,165.1,165.1,165,165,75,6000
2024-03-01 09:39:00,NIFSEL,NFO,Options,04-MAR-24,10600,10882.8,Call,299.45,299.45,298.5,298.5,300,15750,Put,21.5,21.8,21.1,21.25,22500,1070025
2024-03-01 09:39:00,NIFSEL,NFO,Options,04-MAR-24,10900,10882.8,Call,79.2,80.4,77.4,79,111600,1901025,Put,100,101.65,98.6,100.7,40650,1217550
2024-03-01 09:40:00,NIFSEL,NFO,Options,04-MAR-24,10600,10888.05,Call,302.5,302.5,300.45,300.45,225,15750,Put,20.85,21.5,20.65,20.7,69600,1070025
2024-03-01 09:40:00,NIFSEL,NFO,Options,04-MAR-24,10900,10888.05,Call,79.9,81.5,79.6,80.75,150900,1901025,Put,98.3,99.95,97.1,97.6,39300,1217550
2024-03-01 09:41:00,NIFSEL,NFO,Options,04-MAR-24,10600,10895.0,Call,303.7,307.8,303.7,307.8,300,15750,Put,20.7,20.75,18.7,18.7,47625,1070025
2024-03-01 09:41:00,NIFSEL,NFO,Options,04-MAR-24,10900,10895.0,Call,82.05,83.8,81.25,83.8,273150,1901025,Put,97,97.25,92.4,92.4,122625,1217550
2024-03-01 09:41:00,NIFSEL,NFO,Options,04-MAR-24,11200,10895.0,Call,6.95,7.15,6.85,7.15,59625,1247175,Put,322.6,322.6,322.6,322.6,0,14250
2024-03-01 09:41:00,NIFSEL,NFO,Options,11-MAR-24,10900,10895.0,Call,159.4,159.4,158.1,158.1,1800,12975,Put,163.05,163.05,159.05,159.05,375,6000
2024-03-01 09:42:00,NIFSEL,NFO,Options,04-MAR-24,10600,10898.4,Call,312.1,312.8,310.5,312.8,225,17025,Put,18.65,19,18.2,18.6,37875,1097700
2024-03-01 09:42:00,NIFSEL,NFO,Options,04-MAR-24,10900,10898.4,Call,83.7,85,83.15,84.45,235350,1981275,Put,91.45,92.25,90.05,91.2,120000,1244325
2024-03-01 09:42:00,NIFSEL,NFO,Options,11-MAR-24,10900,10898.4,Call,163.95,164.95,163.95,164.95,1575,11625,Put,159,159,148,148,1875,6000
2024-03-01 09:43:00,NIFSEL,NFO,Options,04-MAR-24,10600,10898.45,Call,309.45,309.45,309.45,309.45,0,17025,Put,18.85,19.1,18.3,18.9,37575,1097700
2024-03-01 09:43:00,NIFSEL,NFO,Options,04-MAR-24,10900,10898.45,Call,84.5,85.6,83.25,84.45,231900,1981275,Put,91.7,93.35,90.6,92.95,85050,1244325
2024-03-01 09:48:00,NIFSEL,NFO,Options,04-MAR-24,10600,10881.95,Call,295.05,297.35,295.05,297.35,75,17025,Put,20.15,21,19.65,19.8,59400,1125975
2024-03-01 09:48:00,NIFSEL,NFO,Options,04-MAR-24,10900,10881.95,Call,76.05,78,74.2,76.85,169350,2080425,Put,99.75,102.8,97.5,98.2,100950,1300650
2024-03-01 09:48:00,NIFSEL,NFO,Options,11-MAR-24,10900,10881.95,Call,159.75,159.75,158,158,450,14250,Put,167.15,168.55,165,165,150,4875
2024-03-01 09:49:00,NIFSEL,NFO,Options,04-MAR-24,10600,10895.35,Call,297.3,297.3,297.3,297.3,0,17025,Put,20.15,20.45,18.35,18.35,82500,1125975
2024-03-01 09:49:00,NIFSEL,NFO,Options,04-MAR-24,10900,10895.35,Call,77,81.5,76.75,80.9,194775,2080425,Put,99.85,100.5,93.35,93.9,112125,1300650
2024-03-01 09:49:00,NIFSEL,NFO,Options,04-MAR-24,11200,10895.35,Call,6.45,6.9,6.35,6.8,63975,1278825,Put,320,320,320,320,0,14025
2024-03-01 09:49:00,NIFSEL,NFO,Options,11-MAR-24,10900,10895.35,Call,158,158,158,158,0,14250,Put,165,165,161,161,600,4875
2024-03-01 09:50:00,NIFSEL,NFO,Options,04-MAR-24,10600,10888.5,Call,300,300,300,300,0,17025,Put,18.6,20.35,18.6,20.35,28500,1125975
2024-03-01 09:50:00,NIFSEL,NFO,Options,04-MAR-24,10900,10888.5,Call,81.65,81.65,76.95,76.95,109350,2080425,Put,93.75,100.55,93.75,100.55,69225,1300650
2024-03-01 09:50:00,NIFSEL,NFO,Options,04-MAR-24,11200,10888.5,Call,6.95,6.95,6.45,6.45,33000,1278825,Put,326,326,326,326,0,14025
2024-03-01 09:51:00,NIFSEL,NFO,Options,04-MAR-24,10600,10889.2,Call,302.55,302.55,302.55,302.55,0,16950,Put,20.5,20.6,19,19.4,26850,1125375
2024-03-01 09:51:00,NIFSEL,NFO,Options,04-MAR-24,10900,10889.2,Call,75.85,81,75.85,80.75,93300,2062575,Put,100.1,101.85,95.5,96,53175,1303725
2024-03-01 09:51:00,NIFSEL,NFO,Options,11-MAR-24,10900,10889.2,Call,163.05,163.05,163.05,163.05,0,14850,Put,165,165,164.9,164.9,75,5625
2024-03-01 09:58:00,NIFSEL,NFO,Options,04-MAR-24,10600,10887.9,Call,298.45,298.45,298.45,298.45,0,16950,Put,19.75,19.75,19,19.05,60375,1146975
2024-03-01 09:58:00,NIFSEL,NFO,Options,04-MAR-24,10900,10887.9,Call,76.9,80.25,76.9,78.95,116400,2108250,Put,99.45,99.45,96.25,96.5,58425,1321050
2024-03-01 09:58:00,NIFSEL,NFO,Options,04-MAR-24,11200,10887.9,Call,6.3,6.65,6.3,6.5,67650,1328400,Put,324,324,324,324,0,14325
2024-03-01 09:58:00,NIFSEL,NFO,Options,11-MAR-24,10900,10887.9,Call,158.95,159.8,158.95,159.8,600,15000,Put,166.05,166.05,166,166,300,6150
2024-03-01 10:00:00,NIFSEL,NFO,Options,04-MAR-24,10600,10891.4,Call,296.45,298.1,296.45,298.1,75,17100,Put,18.75,19,18.2,18.45,163650,1141725
2024-03-01 10:00:00,NIFSEL,NFO,Options,04-MAR-24,10900,10891.4,Call,78.7,80.5,77,78.5,103875,2126325,Put,95.8,97.75,93.7,95.3,100425,1318950
2024-03-01 10:00:00,NIFSEL,NFO,Options,04-MAR-24,11200,10891.4,Call,6.35,6.55,6.25,6.3,68925,1349850,Put,324.85,325.3,324.85,325.3,75,14475
2024-03-01 10:05:00,NIFSEL,NFO,Options,04-MAR-24,10600,10888.65,Call,297.75,297.75,297.75,297.75,0,17250,Put,18.7,19.1,17.9,18,193425,1147875
2024-03-01 10:05:00,NIFSEL,NFO,Options,04-MAR-24,10900,10888.65,Call,73.9,77.6,71.2,77.6,337350,2135550,Put,97.55,99.6,94.3,94.3,192825,1323975
2024-03-01 10:05:00,NIFSEL,NFO,Options,11-MAR-24,10900,10888.65,Call,155.2,157,155.2,157,150,16800,Put,169.95,169.95,164.6,169.85,300,6450
2024-03-01 10:07:00,NIFSEL,NFO,Options,04-MAR-24,10600,10891.35,Call,303.35,303.35,303.35,303.35,0,17250,Put,17.55,17.75,17.4,17.55,43350,1157025
2024-03-01 10:07:00,NIFSEL,NFO,Options,04-MAR-24,10900,10891.35,Call,79.05,79.35,77.9,78.8,56850,2127525,Put,93.6,94.15,92.5,92.7,32250,1358325
2024-03-01 10:08:00,NIFSEL,NFO,Options,04-MAR-24,10600,10892.7,Call,304.55,304.55,304.55,304.55,0,17250,Put,17.6,17.6,16.8,17.4,122175,1157025
2024-03-01 10:08:00,NIFSEL,NFO,Options,04-MAR-24,10900,10892.7,Call,79.4,80.1,78.35,79.4,119250,2127525,Put,92.95,93.3,90.7,91.75,130050,1358325
2024-03-01 10:08:00,NIFSEL,NFO,Options,11-MAR-24,10900,10892.7,Call,158.4,160,158.4,158.65,225,16125,Put,160.15,160.15,160.15,160.15,0,6225
2024-03-01 10:11:00,NIFSEL,NFO,Options,04-MAR-24,10600,10887.9,Call,300,300,300,300,0,16425,Put,17.1,18.25,17.1,18,50250,1149075
2024-03-01 10:11:00,NIFSEL,NFO,Options,04-MAR-24,10900,10887.9,Call,79.9,80.35,75.4,76.8,128400,2128725,Put,91,96.1,90.9,94.75,88500,1346775
2024-03-01 10:11:00,NIFSEL,NFO,Options,04-MAR-24,11200,10887.9,Call,6.45,6.45,5.95,6.05,67425,1361475,Put,323.65,323.65,323.65,323.65,0,14475
2024-03-01 10:11:00,NIFSEL,NFO,Options,11-MAR-24,10900,10887.9,Call,159.95,159.95,155.5,155.5,75,16050,Put,157.3,165,157.3,165,375,6225
2024-03-01 10:15:00,NIFSEL,NFO,Options,04-MAR-24,10600,10883.15,Call,295.65,295.65,295.65,295.65,0,16350,Put,18,18.45,17.4,18.45,79125,1141950
2024-03-01 10:15:00,NIFSEL,NFO,Options,04-MAR-24,10900,10883.15,Call,76.75,78.35,75,76,184800,2142450,Put,95.85,97.95,93.05,97.3,104250,1353750
2024-03-01 10:16:00,NIFSEL,NFO,Options,04-MAR-24,10600,10881.65,Call,295.65,295.65,294.7,294.7,975,16350,Put,18.15,18.95,18.15,18.6,108225,1141950
2024-03-01 10:16:00,NIFSEL,NFO,Options,04-MAR-24,10900,10881.65,Call,76.7,76.7,74.55,74.6,135600,2142450,Put,96.6,99.45,96.1,98.35,106875,1353750
2024-03-01 10:20:00,NIFSEL,NFO,Options,04-MAR-24,10600,10884.15,Call,288.55,294,288.55,294,75,16350,Put,19.05,19.8,18.25,18.5,48750,1144650
2024-03-01 10:20:00,NIFSEL,NFO,Options,04-MAR-24,10900,10884.15,Call,71.8,75.15,70.95,75.15,170175,2276475,Put,100.9,103.6,96.55,97.2,143700,1359225
2024-03-01 10:25:00,NIFSEL,NFO,Options,04-MAR-24,10600,10882.0,Call,292.95,292.95,292.95,292.95,0,16500,Put,17.1,18.05,16.9,17.85,8850,1123425
2024-03-01 10:25:00,NIFSEL,NFO,Options,04-MAR-24,10900,10882.0,Call,75.1,75.4,72,72.45,50550,2302725,Put,95.1,98.75,94,97.05,42600,1356900
2024-03-01 10:42:00,NIFSEL,NFO,Options,04-MAR-24,10600,10882.65,Call,292.9,292.9,292.9,292.9,0,16575,Put,16.9,16.9,16.35,16.45,13125,1130325
2024-03-01 10:42:00,NIFSEL,NFO,Options,04-MAR-24,10900,10882.65,Call,69.95,71.8,69.95,71.35,68475,2329125,Put,96,96,94.05,94.6,37050,1398600
