datetime,stock_code,exchange_code,product_type,expiry_date,strike_price,spot_price,callRight,callOpen,callHigh,callLow,callClose,callVolume,callOI,putRight,putOpen,putHigh,putLow,putClose,putVolume,putOI
2023-12-12 09:15:00,NIFTY,NFO,Options,14-DEC-23,21000,21120.0,Call,116.95,116.95,108.8,110.8,1430300,8583850,Put,56.05,64.4,56.05,63.9,1473500,5608550
2023-12-12 09:15:00,NIFTY,NFO,Options,14-DEC-23,21300,21120.0,Call,14.05,14.4,13.85,14.4,539950,3908650,Put,265.75,270.25,263,263,10300,152900
2023-12-12 09:15:00,NIFTY,NFO,Options,14-DEC-23,21600,21120.0,Call,2.4,2.4,2.3,2.3,113450,5348000,Put,566.95,566.95,566.95,566.95,0,2600
2023-12-12 09:15:00,NIFTY,NFO,Options,21-DEC-23,21000,21120.0,Call,189.85,197.05,189.85,197.05,58300,640050,Put,104.8,111.75,104.8,111.75,44600,669400
2023-12-12 09:15:00,NIFTY,NFO,Options,21-DEC-23,21300,21120.0,Call,67.95,67.95,63.4,63.4,14100,640600,Put,273,273,273,273,0,168650
2023-12-12 09:15:00,NIFTY,NFO,Options,21-DEC-23,21600,21120.0,Call,16.35,17.25,16.35,17.25,1550,175350,Put,526,526,526,526,0,2300
2023-12-12 09:15:00,NIFTY,NFO,Options,28-DEC-23,21000,21120.0,Call,255.5,257.65,253,257.65,62350,3457950,Put,144.8,144.8,136.25,140.75,64500,3779550
2023-12-12 09:15:00,NIFTY,NFO,Options,28-DEC-23,21300,21120.0,Call,105.2,111.35,105.2,111.35,11600,851850,Put,289,292.15,289,292.15,650,109400
2023-12-12 09:16:00,NIFTY,NFO,Options,14-DEC-23,21000,21110.0,Call,113.4,113.4,110,110.65,1225650,8583850,Put,62.1,63.35,62.1,63.35,453750,5608550
2023-12-12 09:16:00,NIFTY,NFO,Options,14-DEC-23,21300,21110.0,Call,14.15,14.2,14.15,14.2,133300,3908650,Put,263.1,264.8,263.1,264.8,6500,152900
2023-12-12 09:16:00,NIFTY,NFO,Options,14-DEC-23,21600,21110.0,Call,2.3,2.35,2.3,2.35,263200,5348000,Put,554.65,554.65,554.65,554.65,0,2600
2023-12-12 09:16:00,NIFTY,NFO,Options,21-DEC-23,21000,21110.0,Call,201,201,199.3,199.3,29650,640050,Put,109,113.2,109,112.55,43000,669400
2023-12-12 09:16:00,NIFTY,NFO,Options,21-DEC-23,21300,21110.0,Call,65.5,65.5,63.55,63.55,11950,640600,Put,273.9,277.85,273.9,277.85,700,168650
2023-12-12 09:16:00,NIFTY,NFO,Options,21-DEC-23,21600,21110.0,Call,17.3,17.3,17.05,17.05,900,175350,Put,525,525,525,525,0,2300
2023-12-12 09:16:00,NIFTY,NFO,Options,28-DEC-23,21000,21110.0,Call,261.85,261.85,258.95,258.95,25750,3457950,Put,140,141.05,140,141.05,26000,3779550
2023-12-12 09:16:00,NIFTY,NFO,Options,28-DEC-23,21300,21110.0,Call,113,113,111.55,111.55,8800,851850,Put,290,294.9,290,294.9,1450,109400
2023-12-12 09:17:00,NIFTY,NFO,Options,14-DEC-23,21000,21112.05,Call,108.3,111.1,107.15,111.1,479200,9449100,Put,65.4,66.55,64.55,64.55,771850,6759950
2023-12-12 09:17:00,NIFTY,NFO,Options,14-DEC-23,21300,21112.05,Call,13.55,13.85,13.25,13.85,203300,3788150,Put,270.35,271.5,267.45,267.45,7950,159600
2023-12-12 09:17:00,NIFTY,NFO,Options,14-DEC-23,21600,21112.05,Call,2.35,2.35,2.05,2.05,317800,5355100,Put,564.4,564.4,556.55,556.7,350,2550
2023-12-12 09:17:00,NIFTY,NFO,Options,21-DEC-23,21000,21112.05,Call,196.1,198,194,198,27500,643300,Put,114.25,114.55,112.2,112.2,18150,694350
2023-12-12 09:17:00,NIFTY,NFO,Options,21-DEC-23,21300,21112.05,Call,63.2,63.95,62.75,63.95,14000,635050,Put,279.5,279.5,277.9,277.9,300,168950
2023-12-12 09:17:00,NIFTY,NFO,Options,21-DEC-23,21600,21112.05,Call,16.8,16.8,16.5,16.7,5200,172550,Put,537.65,537.65,537.65,537.65,0,2450
2023-12-12 09:17:00,NIFTY,NFO,Options,28-DEC-23,21000,21112.05,Call,257.95,258.15,255.7,258.15,41800,3449750,Put,143.5,145,143,143,32350,3811450
2023-12-12 09:17:00,NIFTY,NFO,Options,28-DEC-23,21300,21112.05,Call,110.95,111.6,110,111.6,12700,853850,Put,295.3,295.3,295.3,295.3,0,110950
2023-12-12 09:17:00,NIFTY,NFO,Options,28-DEC-23,21600,21112.05,Call,38.65,39.05,38.45,39.05,950,698700,Put,520,520,520,520,0,23350
2023-12-12 09:18:00,NIFTY,NFO,Options,14-DEC-23,21000,21111.0,Call,109.65,111.5,109.65,111.2,510550,9449100,Put,66.45,66.45,64.35,64.35,478650,6759950
2023-12-12 09:18:00,NIFTY,NFO,Options,14-DEC-23,21300,21111.0,Call,13.25,13.7,13.25,13.7,207250,3788150,Put,271.7,271.7,265.85,265.85,4450,159600
2023-12-12 09:18:00,NIFTY,NFO,Options,21-DEC-23,21000,21111.0,Call,194.8,199,194.8,199,19800,643300,Put,114.3,114.3,111.45,111.8,15500,694350
2023-12-12 09:18:00,NIFTY,NFO,Options,21-DEC-23,21300,21111.0,Call,64.1,64.4,63.55,64.4,16550,635050,Put,280.7,280.7,276.15,276.15,200,168950
2023-12-12 09:18:00,NIFTY,NFO,Options,28-DEC-23,21000,21111.0,Call,256.45,260,256.45,260,20750,3449750,Put,145.1,145.1,143.25,143.25,38600,3811450
2023-12-12 09:18:00,NIFTY,NFO,Options,28-DEC-23,21300,21111.0,Call,110.65,112,110.65,112,5350,853850,Put,297.7,297.7,295.05,295.05,600,110950
2023-12-12 09:18:00,NIFTY,NFO,Options,28-DEC-23,21600,21111.0,Call,38.9,39.3,38.9,39.3,1800,698700,Put,520,520,520,520,0,23350
2023-12-12 09:19:00,NIFTY,NFO,Options,14-DEC-23,21000,21113.0,Call,111.55,112.4,111.2,111.4,617100,9449100,Put,64.3,64.3,63.1,63.5,581150,6759950
2023-12-12 09:19:00,NIFTY,NFO,Options,14-DEC-23,21300,21113.0,Call,13.5,13.6,13.4,13.4,295350,3788150,Put,265,266,264.4,264.65,5950,159600
2023-12-12 09:19:00,NIFTY,NFO,Options,14-DEC-23,21600,21113.0,Call,2.1,2.1,1.95,1.95,301050,5355100,Put,554.25,554.25,554.05,554.05,100,2550
2023-12-12 09:19:00,NIFTY,NFO,Options,21-DEC-23,21000,21113.0,Call,199.85,199.85,198.95,198.95,17050,643300,Put,111.2,111.45,110.25,110.95,11150,694350
2023-12-12 09:19:00,NIFTY,NFO,Options,21-DEC-23,21300,21113.0,Call,64.75,64.75,64.4,64.45,6850,635050,Put,275.05,275.8,275.05,275.05,350,168950
2023-12-12 09:19:00,NIFTY,NFO,Options,28-DEC-23,21000,21113.0,Call,260,261,260,260.35,32150,3449750,Put,142.2,142.5,141.5,141.75,26350,3811450
2023-12-12 09:19:00,NIFTY,NFO,Options,28-DEC-23,21300,21113.0,Call,112.5,113,112.3,112.4,7800,853850,Put,294.2,294.6,292.9,292.9,600,110950
2023-12-12 09:20:00,NIFTY,NFO,Options,14-DEC-23,21000,21104.35,Call,110.5,110.5,105.1,106.6,833100,9865550,Put,64.3,68.85,64.3,66.9,988000,7290950
2023-12-12 09:20:00,NIFTY,NFO,Options,14-DEC-23,21300,21104.35,Call,13.25,13.25,12.65,12.9,368400,3790450,Put,265.95,275.85,265.95,273.3,9050,163500
2023-12-12 09:20:00,NIFTY,NFO,Options,14-DEC-23,21600,21104.35,Call,2,2.15,2,2.15,222450,5330850,Put,560,565.05,560,564.25,100,3200
2023-12-12 09:20:00,NIFTY,NFO,Options,21-DEC-23,21000,21104.35,Call,197.45,197.45,190.9,193.9,25750,647450,Put,110.9,115.75,110.9,114.45,25900,719450
2023-12-12 09:20:00,NIFTY,NFO,Options,21-DEC-23,21300,21104.35,Call,63.5,63.5,60.95,61.95,11250,647000,Put,276.4,283.7,276.4,283,2250,169000
